error_type,variant,variant_label,case_count,error_rate,estimated_error_count,trigger_metric,threshold,safeguard_modules,source
overclaim novelty,full ASPR,Full ASPR,50,1.0,50,unsupported_claim_rate,0.42,verifier; prior-art retrieval,derived_from_fig4_metrics_and_ablation_pipeline
overclaim novelty,no verifier,- verifier,50,0.02,1,unsupported_claim_rate,0.42,verifier; prior-art retrieval,derived_from_fig4_metrics_and_ablation_pipeline
overclaim novelty,no prior-art retrieval,- retrieval,50,0.0,0,unsupported_claim_rate,0.42,verifier; prior-art retrieval,derived_from_fig4_metrics_and_ablation_pipeline
overclaim novelty,generic LLM-only baseline,Generic LLM only,50,0.04,2,unsupported_claim_rate,0.42,verifier; prior-art retrieval,derived_from_fig4_metrics_and_ablation_pipeline
missed prior art,full ASPR,Full ASPR,50,1.0,50,prior_art_accuracy,0.25,prior-art retrieval; citation graph retrieval,derived_from_fig4_metrics_and_ablation_pipeline
missed prior art,no verifier,- verifier,50,0.02,1,prior_art_accuracy,0.25,prior-art retrieval; citation graph retrieval,derived_from_fig4_metrics_and_ablation_pipeline
missed prior art,no prior-art retrieval,- retrieval,50,1.0,50,prior_art_accuracy,0.25,prior-art retrieval; citation graph retrieval,derived_from_fig4_metrics_and_ablation_pipeline
missed prior art,generic LLM-only baseline,Generic LLM only,50,0.0,0,prior_art_accuracy,0.25,prior-art retrieval; citation graph retrieval,derived_from_fig4_metrics_and_ablation_pipeline
wrong mechanism interpretation,full ASPR,Full ASPR,50,0.0,0,semantic_agreement,0.7,graph agent; fusion,derived_from_fig4_metrics_and_ablation_pipeline
wrong mechanism interpretation,no verifier,- verifier,50,0.1,5,semantic_agreement,0.7,graph agent; fusion,derived_from_fig4_metrics_and_ablation_pipeline
wrong mechanism interpretation,no prior-art retrieval,- retrieval,50,0.1,5,semantic_agreement,0.7,graph agent; fusion,derived_from_fig4_metrics_and_ablation_pipeline
wrong mechanism interpretation,generic LLM-only baseline,Generic LLM only,50,0.08,4,semantic_agreement,0.7,graph agent; fusion,derived_from_fig4_metrics_and_ablation_pipeline
over-reliance on graph score,full ASPR,Full ASPR,50,1.0,50,novelty_coverage,0.25,ASPR-Qwen; verifier,derived_from_fig4_metrics_and_ablation_pipeline
over-reliance on graph score,no verifier,- verifier,50,0.0,0,novelty_coverage,0.25,ASPR-Qwen; verifier,derived_from_fig4_metrics_and_ablation_pipeline
over-reliance on graph score,no prior-art retrieval,- retrieval,50,0.0,0,novelty_coverage,0.25,ASPR-Qwen; verifier,derived_from_fig4_metrics_and_ablation_pipeline
over-reliance on graph score,generic LLM-only baseline,Generic LLM only,50,0.0,0,novelty_coverage,0.25,ASPR-Qwen; verifier,derived_from_fig4_metrics_and_ablation_pipeline
weak field context,full ASPR,Full ASPR,50,1.0,50,prior_art_accuracy,0.2,domain retriever; reviewer examples,derived_from_fig4_metrics_and_ablation_pipeline
weak field context,no verifier,- verifier,50,0.02,1,prior_art_accuracy,0.2,domain retriever; reviewer examples,derived_from_fig4_metrics_and_ablation_pipeline
weak field context,no prior-art retrieval,- retrieval,50,1.0,50,prior_art_accuracy,0.2,domain retriever; reviewer examples,derived_from_fig4_metrics_and_ablation_pipeline
weak field context,generic LLM-only baseline,Generic LLM only,50,0.0,0,prior_art_accuracy,0.2,domain retriever; reviewer examples,derived_from_fig4_metrics_and_ablation_pipeline
unsupported evidence,full ASPR,Full ASPR,50,1.0,50,evidence_trace_completeness,0.4,evidence trace; verifier,derived_from_fig4_metrics_and_ablation_pipeline
unsupported evidence,no verifier,- verifier,50,0.94,47,evidence_trace_completeness,0.4,evidence trace; verifier,derived_from_fig4_metrics_and_ablation_pipeline
unsupported evidence,no prior-art retrieval,- retrieval,50,0.86,43,evidence_trace_completeness,0.4,evidence trace; verifier,derived_from_fig4_metrics_and_ablation_pipeline
unsupported evidence,generic LLM-only baseline,Generic LLM only,50,0.88,44,evidence_trace_completeness,0.4,evidence trace; verifier,derived_from_fig4_metrics_and_ablation_pipeline
non-human-like review tone,full ASPR,Full ASPR,50,0.54,27,readability,0.75,ASPR-Qwen reviewer,derived_from_fig4_metrics_and_ablation_pipeline
non-human-like review tone,no verifier,- verifier,50,0.0,0,readability,0.75,ASPR-Qwen reviewer,derived_from_fig4_metrics_and_ablation_pipeline
non-human-like review tone,no prior-art retrieval,- retrieval,50,0.0,0,readability,0.75,ASPR-Qwen reviewer,derived_from_fig4_metrics_and_ablation_pipeline
non-human-like review tone,generic LLM-only baseline,Generic LLM only,50,0.0,0,readability,0.75,ASPR-Qwen reviewer,derived_from_fig4_metrics_and_ablation_pipeline
fusion inconsistency,full ASPR,Full ASPR,50,1.0,50,review_structure_coverage,0.7,fusion module; self-check,derived_from_fig4_metrics_and_ablation_pipeline
fusion inconsistency,no verifier,- verifier,50,0.0,0,review_structure_coverage,0.7,fusion module; self-check,derived_from_fig4_metrics_and_ablation_pipeline
fusion inconsistency,no prior-art retrieval,- retrieval,50,0.0,0,review_structure_coverage,0.7,fusion module; self-check,derived_from_fig4_metrics_and_ablation_pipeline
fusion inconsistency,generic LLM-only baseline,Generic LLM only,50,0.0,0,review_structure_coverage,0.7,fusion module; self-check,derived_from_fig4_metrics_and_ablation_pipeline
