domains,n_domains,max_year,n_papers,min_papers_per_domain,learned_oof_spearman,equal_weight_spearman,learned_vs_equal_delta,top_family,top_family_count,top_family_share,high_vs_low_tertile_median_rgpm_lift_pp,top_vs_bottom_score_decile_rgpm_top20_enrichment,candidate_id,passes_family_balance,passes_min_domains,passes_min_domain_papers,passes_top_enrichment,oof_gap_to_0_45,screening_score
gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics perovskite_solar_cells spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,,8156,333,0.4131090091476799,0.23778546591416302,0.17532354323351687,biology_biomedicine,4,0.4,37.97204512015694,5.935897435897436,d10_yall_00326,1,1,1,1,0.036890990852320116,0.5905931350273045
gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics perovskite_solar_cells spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,2015,8156,333,0.4131090091476799,0.23778546591416302,0.17532354323351687,biology_biomedicine,4,0.4,37.97204512015694,5.935897435897436,d10_y2015_00330,1,1,1,1,0.036890990852320116,0.5905931350273045
crispr gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics perovskite_solar_cells spectroscopy_and_quantum_chemical_studies topological_insulators,10,,7482,333,0.40932358643609285,0.20959970987406754,0.1997238765620253,biology_biomedicine,4,0.4,38.512429831595824,6.1940298507462686,d10_yall_00226,1,1,1,1,0.040676413563907166,0.5931903772791196
crispr gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics perovskite_solar_cells spectroscopy_and_quantum_chemical_studies topological_insulators,10,2015,7482,333,0.40932358643609285,0.20959970987406754,0.1997238765620253,biology_biomedicine,4,0.4,38.512429831595824,6.1940298507462686,d10_y2015_00230,1,1,1,1,0.040676413563907166,0.5931903772791196
exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics perovskite_solar_cells spectroscopy_and_quantum_chemical_studies topological_insulators,10,,8086,333,0.4053714279112668,0.2164789355210905,0.1888924923901763,materials_chemistry,4,0.4,38.554291367796196,6.057971014492754,d10_yall_00276,1,1,1,1,0.04462857208873322,0.5859754728206307
exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics perovskite_solar_cells spectroscopy_and_quantum_chemical_studies topological_insulators,10,2015,8086,333,0.4053714279112668,0.2164789355210905,0.1888924923901763,materials_chemistry,4,0.4,38.554291367796196,6.057971014492754,d10_y2015_00280,1,1,1,1,0.04462857208873322,0.5859754728206307
crispr gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,,8298,333,0.4039615472262467,0.23637191578251288,0.16758963144373384,biology_biomedicine,5,0.5,38.099542058327316,5.602409638554216,d10_yall_00241,1,1,1,1,0.04603845277375329,0.5743892215695178
crispr gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,2014,8298,333,0.4039615472262467,0.23637191578251288,0.16758963144373384,biology_biomedicine,5,0.5,38.099542058327316,5.602409638554216,d10_y2014_00244,1,1,1,1,0.04603845277375329,0.5743892215695178
crispr gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,2015,8298,333,0.4039615472262467,0.23637191578251288,0.16758963144373384,biology_biomedicine,5,0.5,38.099542058327316,5.602409638554216,d10_y2015_00245,1,1,1,1,0.04603845277375329,0.5743892215695178
crispr gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics perovskite_solar_cells spectroscopy_and_quantum_chemical_studies ubiquitin_and_proteasome_pathways,10,,8162,333,0.40297639307465793,0.2400034333705964,0.16297295970406153,biology_biomedicine,5,0.5,36.52291105121294,6.181818181818182,d10_yall_00231,1,1,1,1,0.047023606925342076,0.5847614046962247
