community,label,x,y,domain,topic_id
34886001,crispr: Genetic diversity and population structure,1.0,0.0,crispr,https://openalex.org/T10012
34886003,crispr: Plant Stress Responses and Tolerance,0.9999982783070192,0.0018556354699568,crispr,https://openalex.org/T10014
34886004,crispr: Genomics and Phylogenetic Studies,0.9999931132340052,0.0037112645502445,crispr,https://openalex.org/T10015
34886262,crispr: T-cell and B-cell Immunology,0.9999845047987436,0.0055668808512159,crispr,https://openalex.org/T10031
34886269,crispr: Tuberculosis Research and Epidemiology,0.9999724530308762,0.007422477983268,crispr,https://openalex.org/T10038
34886393,crispr: COVID-19 Clinical Research Studies,0.999956957971902,0.0092780495568636,crispr,https://openalex.org/T10041
34886396,crispr: Protein Structure and Dynamics,0.9999380196751768,0.0111335891825536,crispr,https://openalex.org/T10044
34886656,crispr: MicroRNA in disease regulation,0.999915638205912,0.0129890904709989,crispr,https://openalex.org/T10062
34886657,crispr: Nanoparticle-Based Drug Delivery,0.9998898136411758,0.0148445470329924,crispr,https://openalex.org/T10063
34886660,crispr: Gut microbiota and health,0.9998605460698924,0.0166999524794811,crispr,https://openalex.org/T10066
34886791,crispr: Plant-Microbe Interactions and Immunity,0.9998278355928408,0.0185553004215878,crispr,https://openalex.org/T10076
34886792,crispr: Neuroscience and Neuropharmacology Research,0.9997916823226562,0.0204105844706336,crispr,https://openalex.org/T10077
34886794,crispr: Nanoparticles: synthesis and applications,0.9997520863838284,0.0222657982381593,crispr,https://openalex.org/T10079
34886921,crispr: Parkinson's Disease Mechanisms and Treatments,0.999709047912701,0.0241209353359479,crispr,https://openalex.org/T10085
34886922,crispr: Alzheimer's disease research and treatments,0.9996625670574724,0.0259759893760464,crispr,https://openalex.org/T10086
34887048,crispr: Malaria Research and Control,0.9996126439781942,0.0278309539707878,crispr,https://openalex.org/T10091
34887051,crispr: Epilepsy research and treatment,0.9995592788467704,0.029685822732813,crispr,https://openalex.org/T10094
34887053,crispr: Metal-Organic Frameworks: Synthesis and Applications,0.9995024718469584,0.0315405892750929,crispr,https://openalex.org/T10096
34903034,crispr: Osteoarthritis Treatment and Mechanisms,0.9994422231743662,0.0333952472109504,crispr,https://openalex.org/T10105
34903035,crispr: Autism Spectrum Disorder Research,0.9993785330364532,0.0352497901540826,crispr,https://openalex.org/T10106
34903162,crispr: HIV Research and Treatment,0.9993114016525292,0.0371042117185822,crispr,https://openalex.org/T10112
34903166,crispr: Sperm and Testicular Function,0.9992408292537536,0.03895850551896,crispr,https://openalex.org/T10116
34903168,crispr: SARS-CoV-2 and COVID-19 Research,0.9991668160831344,0.0408126651701669,crispr,https://openalex.org/T10118
34903169,crispr: Sustainability and Climate Change Governance,0.9990893623955271,0.0426666842876154,crispr,https://openalex.org/T10119
34903292,crispr: Building Energy and Comfort Optimization,0.9990084684576352,0.0445205564872023,crispr,https://openalex.org/T10121
34903294,crispr: DNA Repair Mechanisms,0.9989241345480074,0.0463742753853299,crispr,https://openalex.org/T10123
34903300,crispr: Glioma Diagnosis and Treatment,0.998836360957038,0.0482278345989287,crispr,https://openalex.org/T10129
34903423,crispr: Gold and Silver Nanoparticles Synthesis and Applications,0.9987451479869656,0.0500812277454789,crispr,https://openalex.org/T10131
34903427,crispr: Insect-Plant Interactions and Control,0.998650495951871,0.0519344484430325,crispr,https://openalex.org/T10135
34903431,crispr: Heavy metals in environment,0.9985524051776784,0.0537874903102354,crispr,https://openalex.org/T10139
34903553,crispr: Food composition and properties,0.9984508760021518,0.0556403469663493,crispr,https://openalex.org/T10140
34903554,crispr: Probiotics and Fermented Foods,0.9983459087748956,0.0574930120312735,crispr,https://openalex.org/T10141
34903556,crispr: Chronic Obstructive Pulmonary Disease (COPD) Research,0.998237503857352,0.0593454791255672,crispr,https://openalex.org/T10143
34903559,crispr: Cervical Cancer and HPV Research,0.9981256616228016,0.0611977418704713,crispr,https://openalex.org/T10146
34903560,crispr: Antibiotic Resistance in Bacteria,0.9980103824563598,0.06304979388793,crispr,https://openalex.org/T10147
34903684,crispr: Antifungal resistance and susceptibility,0.9978916667549776,0.0649016288006137,crispr,https://openalex.org/T10150
34903685,crispr: Hepatitis C virus research,0.997769514927439,0.0667532402319398,crispr,https://openalex.org/T10151
34903692,crispr: Cancer Immunotherapy and Biomarkers,0.9976439273943598,0.0686046218060956,crispr,https://openalex.org/T10158
34903818,crispr: Metal complexes synthesis and properties,0.9975149045881864,0.0704557671480598,crispr,https://openalex.org/T10163
34903821,crispr: Mosquito-borne diseases and control,0.997382446953194,0.0723066698836245,crispr,https://openalex.org/T10166
