domain,landmark_source,accepted_landmark_source,source_id,label,id,doi,title,year,match_confidence,include_main,needs_manual_confirmation,evidence_key
crispr,strict_manual_v3,strict_manual_v3,10.1126/science.1225829,Jinek 2012,https://openalex.org/W2045435533,10.1126/science.1225829,A programmable dual-RNA-guided DNA endonuclease in adaptive bacterial immunity,2012,0.9871794871794872,1,0,https://openalex.org/W2045435533
crispr,strict_manual_v3,strict_manual_v3,10.1126/science.1231143,Cong 2013,https://openalex.org/W2064815984,10.1126/science.1231143,Multiplex genome engineering using CRISPR/Cas systems,2013,1.0,1,0,https://openalex.org/W2064815984
crispr,strict_manual_v3,strict_manual_v3,10.1126/science.1232033,Mali 2013,https://openalex.org/W2003171404,10.1126/science.1232033,RNA-guided human genome engineering via Cas9,2013,1.0,1,0,https://openalex.org/W2003171404
exoplanets,strict_manual_v3,strict_manual_v3,10.1038/378355a0,Mayor/Queloz 1995,https://openalex.org/W1963760477,10.1038/378355a0,A Jupiter-mass companion to a solar-type star,1995,1.0,1,0,https://openalex.org/W1963760477
gamma_ray_bursts_and_supernovae,strict_manual_v3,strict_manual_v3,10.1086/300499,Riess 1998,https://openalex.org/W2073832139,10.1086/300499,Observational evidence from supernovae for an accelerating universe and a cosmological constant,1998,1.0,1,0,https://openalex.org/W2073832139
gamma_ray_bursts_and_supernovae,strict_manual_v3,strict_manual_v3,10.1086/307221,Perlmutter 1999,https://openalex.org/W1853767801,10.1086/307221,Measurements of Omega and Lambda from 42 high-redshift supernovae,1999,0.8760330578512396,1,0,https://openalex.org/W1853767801
genetics_aging_and_longevity_in_model_organisms,strict_manual_v3,strict_manual_v3,10.1038/366461a0,Kenyon 1993,https://openalex.org/W2046989794,10.1038/366461a0,A C. elegans mutant that lives twice as long as wild type,1993,1.0,1,0,https://openalex.org/W2046989794
genetics_aging_and_longevity_in_model_organisms,strict_manual_v3,strict_manual_v3,10.1126/science.277.5328.942,Kimura 1997,https://openalex.org/W2052722944,10.1126/science.277.5328.942,"daf-2, an insulin receptor-like gene that regulates longevity and diapause in Caenorhabditis elegans",1997,0.9302325581395348,1,0,https://openalex.org/W2052722944
graphene_2d_materials,strict_manual_v3,strict_manual_v3,10.1126/science.1102896,Novoselov 2004,https://openalex.org/W2058122340,10.1126/science.1102896,Electric field effect in atomically thin carbon films,2004,1.0,1,0,https://openalex.org/W2058122340
ipsc_reprogramming,strict_manual_v3,strict_manual_v3,10.1016/j.cell.2006.07.024,Takahashi/Yamanaka 2006,https://openalex.org/W2125987139,10.1016/j.cell.2006.07.024,Induction of pluripotent stem cells from mouse embryonic and adult fibroblast cultures by defined factors,2006,1.0,1,0,https://openalex.org/W2125987139
