slug,display_name,query,field_name,subfield_name,topic_id,seed_source,n_works,domain,family,publication_score,recommended_role,status,reason_for_inclusion_or_exclusion
crispr,CRISPR-Cas genome editing,"""CRISPR"" OR ""Cas9"" OR ""genome editing""","Biochemistry, Genetics and Molecular Biology",Genetics,,landmark_registry_v3_openalex,2500,crispr,biology_biomedicine,1.0,main_candidate,main_ready,performance_gated_v3
exoplanets,Exoplanets,"""exoplanet"" OR ""extrasolar planet"" OR ""transiting planet""",Physics and Astronomy,Astronomy and Astrophysics,,landmark_registry_v3_openalex,2500,exoplanets,physics_astronomy,1.0,main_candidate,main_ready,performance_gated_v3
gamma_ray_bursts_and_supernovae,Gamma-ray bursts and supernovae,Gamma-ray bursts and supernovae,Physics and Astronomy,Astronomy and Astrophysics,https://openalex.org/T11323,landmark_registry_v3_openalex,2500,gamma_ray_bursts_and_supernovae,physics_astronomy,1.0,main_candidate,main_ready,performance_gated_v3
genetics_aging_and_longevity_in_model_organisms,"Genetics, Aging, and Longevity in Model Organisms","Genetics, Aging, and Longevity in Model Organisms","Biochemistry, Genetics and Molecular Biology",Aging,https://openalex.org/T10676,landmark_registry_v3_openalex,2500,genetics_aging_and_longevity_in_model_organisms,biology_biomedicine,1.0,main_candidate,main_ready,performance_gated_v3
graphene_2d_materials,Graphene and 2D materials,"""graphene"" OR ""two-dimensional materials"" OR ""van der Waals heterostructure""",Materials Science,Condensed Matter Physics,,landmark_registry_v3_openalex,2500,graphene_2d_materials,materials_chemistry,1.0,main_candidate,main_ready,performance_gated_v3
ipsc_reprogramming,iPSC and cellular reprogramming,"""induced pluripotent stem cell"" OR ""cellular reprogramming"" OR ""Yamanaka factors""","Biochemistry, Genetics and Molecular Biology",Cell Biology,,landmark_registry_v3_openalex,2500,ipsc_reprogramming,biology_biomedicine,1.0,main_candidate,main_ready,performance_gated_v3
mass_spectrometry_techniques_and_applications,Mass Spectrometry Techniques and Applications,Mass Spectrometry Techniques and Applications,Chemistry,Spectroscopy,https://openalex.org/T10683,landmark_registry_v3_openalex,2500,mass_spectrometry_techniques_and_applications,materials_chemistry,1.0,main_candidate,main_ready,performance_gated_v3
microbiome_metagenomics,Microbiome and metagenomics,"""microbiome"" OR ""metagenomics"" OR ""human microbiome""",Medicine,Microbiology,,landmark_registry_v3_openalex,2500,microbiome_metagenomics,biology_biomedicine,1.0,main_candidate,main_ready,performance_gated_v3
perovskite_solar_cells,Perovskite solar cells,"""perovskite solar cell"" OR ""organometal halide perovskite""",Materials Science,Renewable Energy,,landmark_registry_v3_openalex,2500,perovskite_solar_cells,materials_chemistry,1.0,main_candidate,main_ready,performance_gated_v3
topological_insulators,Topological insulators,"""topological insulator"" OR ""quantum spin Hall"" OR ""topological materials""",Physics and Astronomy,Condensed Matter Physics,,landmark_registry_v3_openalex,2500,topological_insulators,physics_astronomy,1.0,main_candidate,main_ready,performance_gated_v3
ubiquitin_and_proteasome_pathways,Ubiquitin and proteasome pathways,Ubiquitin and proteasome pathways,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,https://openalex.org/T11041,landmark_registry_v3_openalex,2500,ubiquitin_and_proteasome_pathways,biology_biomedicine,1.0,main_candidate,main_ready,performance_gated_v3
