matrix_field,matrix_dtype,row_count,missing_count,missing_rate,unique_count,legacy_feature_id,legacy_name,legacy_formula,legacy_use,no_selection_decision
EF0001,float,411490,0,0.0,402868,EF0001,Abstract-availability predictor,Not explicitly reported for this mention in the verified evidence.,data_mapping_candidate_only,True
EF0002,float,411490,0,0.0,436,EF0002,Abstract information entropy,H(X) = -Σ_j p_j log2(p_j).,data_mapping_candidate_only,True
EF0004,float,411490,0,0.0,49,EF0004,Abstract length,Not explicitly reported for this mention in the verified evidence.,data_mapping_candidate_only,True
EF0007,float,411490,0,0.0,402968,EF0007,Abstract reporting completeness,Not explicitly reported for this mention in the verified evidence.,data_mapping_candidate_only,True
EF0008,float,411490,0,0.0,402681,EF0008,Abstract rhetorical-move structure,Not explicitly reported for this mention in the verified evidence.,data_mapping_candidate_only,True
EF0009,float,411490,0,0.0,401591,EF0009,Abstract rhetorical moves,Not explicitly reported for this mention in the verified evidence.,data_mapping_candidate_only,True
EF0014,float,411490,0,0.0,405,EF0014,Academic program/institution,Not explicitly reported for this mention in the verified evidence.,data_mapping_candidate_only,True
EF0015,float,411490,0,0.0,463,EF0015,Access-status control,Not explicitly reported for this mention in the verified evidence.,data_mapping_candidate_only,True
EF0016,float,411490,0,0.0,400796,EF0016,Accessible scientific writing,Not explicitly reported for this mention in the verified evidence.,data_mapping_candidate_only,True
EF0017,float,411490,0,0.0,298220,EF0017,Additive entropy diversity index,dive = H_variety + H_balance - I_disparity,data_mapping_candidate_only,True
EF0019,float,411490,0,0.0,53,EF0019,Affiliated-country size,Not explicitly reported for this mention in the verified evidence.,data_mapping_candidate_only,True
EF0021,float,411490,0,0.0,403046,EF0021,Analytic feature selection,Not explicitly reported for this mention in the verified evidence.,data_mapping_candidate_only,True
EF0023,float,411490,0,0.0,401541,EF0023,Animal age and sex reporting,Not explicitly reported for this mention in the verified evidence.,data_mapping_candidate_only,True
EF0024,float,411490,0,0.0,402363,EF0024,Article annotation content,Not explicitly reported for this mention in the verified evidence.,data_mapping_candidate_only,True
EF0027,float,411490,0,0.0,402265,EF0027,Article publishing charge,Not explicitly reported for this mention in the verified evidence.,data_mapping_candidate_only,True
EF0028,float,411490,0,0.0,403636,EF0028,Article structural-element counts,Not explicitly reported for this mention in the verified evidence.,data_mapping_candidate_only,True
EF0031,float,411490,0,0.0,1564,EF0031,Article topic,Not explicitly reported for this mention in the verified evidence.,data_mapping_candidate_only,True
EF0032,float,411490,0,0.0,372,EF0032,Author academic qualification,Not explicitly reported for this mention in the verified evidence.,data_mapping_candidate_only,True
EF0033,float,411490,0,0.0,53,EF0033,Author-affiliation country diversity,Not explicitly reported for this mention in the verified evidence.,data_mapping_candidate_only,True
