case_id,paper_id,source,run_status,scoring_protocol,semantic_agreement,novelty_coverage,prior_art_accuracy,factuality,readability,unsupported_claim_rate,evidence_trace_completeness,review_structure_coverage,entailed_points,related_points,contradicted_points,no_match_points,total_points,expected_case_count,evaluable_case_count,excluded_case_count
s41467-023-35925-2,s41467-023-35925-2,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.25,0.5,0.5,1.0,1.0,0.275,0.5,0.5,0,3,0,3,6,50,50,0
s41467-023-37794-1,s41467-023-37794-1,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.16666666666666666,0.0,0.0,1.0,1.0,0.3666666666666667,0.3333333333333333,0.3333333333333333,0,2,0,4,6,50,50,0
s41467-023-39516-z,s41467-023-39516-z,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.25,0.5,0.0,1.0,1.0,0.275,0.5,0.5,0,3,0,3,6,50,50,0
s41467-023-43436-3,s41467-023-43436-3,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.16666666666666666,0.0,0.0,1.0,1.0,0.3666666666666667,0.3333333333333333,0.3333333333333333,0,2,0,4,6,50,50,0
s41467-024-45503-9,s41467-024-45503-9,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.16666666666666666,0.5,0.5,1.0,1.0,0.3666666666666667,0.3333333333333333,0.3333333333333333,0,2,0,4,6,50,50,0
s41467-024-45610-7,s41467-024-45610-7,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.08333333333333333,0.0,0.0,1.0,1.0,0.45833333333333337,0.16666666666666666,0.16666666666666666,0,1,0,5,6,50,50,0
s41467-024-48659-6,s41467-024-48659-6,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.08333333333333333,0.0,0.0,1.0,1.0,0.45833333333333337,0.16666666666666666,0.16666666666666666,0,1,0,5,6,50,50,0
s41467-024-52907-0,s41467-024-52907-0,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.5,1.0,0.5,1.0,1.0,0.11000000000000001,0.8,0.6666666666666666,1,3,0,1,5,50,50,0
s41467-024-53673-9,s41467-024-53673-9,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.5,1.0,0.0,1.0,1.0,0.09166666666666667,0.8333333333333334,0.8333333333333334,1,4,0,1,6,50,50,0
s41467-024-54489-3,s41467-024-54489-3,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.25,0.0,0.0,1.0,1.0,0.275,0.5,0.5,0,3,0,3,6,50,50,0
s41467-025-57961-w,s41467-025-57961-w,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.4166666666666667,0.5,0.5,1.0,1.0,0.09166666666666667,0.8333333333333334,0.8333333333333334,0,5,0,1,6,50,50,0
s41467-025-58469-z,s41467-025-58469-z,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.16666666666666666,0.5,0.0,1.0,1.0,0.3666666666666667,0.3333333333333333,0.3333333333333333,0,2,0,4,6,50,50,0
s41467-025-59370-5,s41467-025-59370-5,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.08333333333333333,0.0,0.0,1.0,1.0,0.45833333333333337,0.16666666666666666,0.16666666666666666,0,1,0,5,6,50,50,0
s41467-025-59424-8,s41467-025-59424-8,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.5,1.0,0.5,1.0,1.0,0.18333333333333335,0.6666666666666666,0.6666666666666666,2,2,0,2,6,50,50,0
s41467-025-59859-z,s41467-025-59859-z,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.08333333333333333,0.5,0.0,1.0,1.0,0.45833333333333337,0.16666666666666666,0.16666666666666666,0,1,0,5,6,50,50,0
