paper_id,domain,year,primary_field,is_landmark,n_controls,control_tier,community_reach_control_mad,community_reach_control_robust_scale,community_reach_scale_used,community_reach_scale_floor_used,community_reach_mad_zero,community_reach_z_clipped,field_entropy_control_mad,field_entropy_control_robust_scale,field_entropy_scale_used,field_entropy_scale_floor_used,field_entropy_mad_zero,field_entropy_z_clipped,cross_community_adoption_control_mad,cross_community_adoption_control_robust_scale,cross_community_adoption_scale_used,cross_community_adoption_scale_floor_used,cross_community_adoption_mad_zero,cross_community_adoption_z_clipped,path_shortening_control_mad,path_shortening_control_robust_scale,path_shortening_scale_used,path_shortening_scale_floor_used,path_shortening_mad_zero,path_shortening_z_clipped,modularity_shock_control_mad,modularity_shock_control_robust_scale,modularity_shock_scale_used,modularity_shock_scale_floor_used,modularity_shock_mad_zero,modularity_shock_z_clipped,partition_change_control_mad,partition_change_control_robust_scale,partition_change_scale_used,partition_change_scale_floor_used,partition_change_mad_zero,partition_change_z_clipped,boundary_mixing_control_mad,boundary_mixing_control_robust_scale,boundary_mixing_scale_used,boundary_mixing_scale_floor_used,boundary_mixing_mad_zero,boundary_mixing_z_clipped,post_perturbation_concentration_control_mad,post_perturbation_concentration_control_robust_scale,post_perturbation_concentration_scale_used,post_perturbation_concentration_scale_floor_used,post_perturbation_concentration_mad_zero,post_perturbation_concentration_z_clipped,hub_formation_control_mad,hub_formation_control_robust_scale,hub_formation_scale_used,hub_formation_scale_floor_used,hub_formation_mad_zero,hub_formation_z_clipped,n_delta_scale_floor_used,n_delta_mad_zero,n_delta_z_clipped
graphene_2d_materials::https://openalex.org/W2091804031,graphene_2d_materials,1991,2D Materials and Applications,0,5920,all_non_landmark,1.4826,2.7311744049941473,1.4826,0,0,0,0.42526302847758135,0.559671429301575,0.42526302847758135,0,0,0,0.1872084895104895,0.39016777214202103,0.24385485758876313,1,0,0,0.0,0.06502796202367017,0.0568994667707114,1,1,0,0.0,0.021484188578262786,0.021484188578262786,1,1,0,0.1601675703154666,0.17528005756859005,0.1601675703154666,0,0,1,0.09683174197215118,0.1563643196671339,0.09683174197215118,0,0,0,0.4821326674321762,0.4821326674321762,0.4821326674321762,0,0,0,0.0,0.0024426947659084764,0.02,1,1,0,4,3,1
graphene_2d_materials::https://openalex.org/W1542482684,graphene_2d_materials,1993,Catalysis and Hydrodesulfurization Studies,0,123,field_all_years,1.4826,1.5606710885680841,1.4826,0,0,0,1.4827318040026374e-12,0.3666903136385563,0.18334515681927815,1,1,0,0.0,0.19508388607101051,0.12192742879438156,1,1,0,0.0,0.13005592404734034,0.1137989335414228,1,1,0,0.0,0.008088595632310687,0.010732932741419076,1,1,0,0.2044881698261664,0.2044881698261664,0.2044881698261664,0,0,0,0.18753125,0.21381921498971826,0.18753125,0,0,0,0.49756190476190454,0.7412898443291327,0.49756190476190454,0,0,0,0.0,0.0010951180861776,0.02,1,1,0,5,5,0
graphene_2d_materials::https://openalex.org/W1964642922,graphene_2d_materials,1993,Metal and Thin Film Mechanics,0,61,field_all_years,1.4826,1.5606710885680841,1.4826,0,0,0,0.5171784652953966,0.5171784652953966,0.5171784652953966,0,0,0,0.2118,0.49419322955275513,0.30887076847047196,1,0,0,0.0,0.0836073797447188,0.07315645727662895,1,1,0,0.0008236666666667311,0.015107506328731448,0.015107506328731448,1,0,0,0.14452054047061388,0.34036168793717186,0.17018084396858593,1,0,0,0.07412999999999999,0.15164083581149979,0.07582041790574989,1,0,0,0.4942,0.4942,0.4942,0,0,0,0.0,0.0,0.02,1,1,0,6,2,0
graphene_2d_materials::https://openalex.org/W1968164954,graphene_2d_materials,1993,Surface Chemistry and Catalysis,0,5920,all_non_landmark,1.4826,2.7311744049941473,1.4826,0,0,0,0.42526302847758135,0.559671429301575,0.42526302847758135,0,0,0,0.1872084895104895,0.39016777214202103,0.24385485758876313,1,0,0,0.0,0.06502796202367017,0.0568994667707114,1,1,1,0.0,0.021461440139486837,0.021461440139486837,1,1,0,0.1601675703154666,0.17528005756859005,0.1601675703154666,0,0,0,0.09683928021503653,0.15658824843049315,0.09683928021503653,0,0,1,0.4821326674321762,0.4821326674321762,0.4821326674321762,0,0,0,0.0,0.0024426947659084764,0.02,1,1,0,4,3,2
graphene_2d_materials::https://openalex.org/W2069810599,graphene_2d_materials,1993,Catalysis and Hydrodesulfurization Studies,0,123,field_all_years,1.4826,1.5606710885680841,1.4826,0,0,0,1.4827318040026374e-12,0.3666903136385563,0.18334515681927815,1,1,0,0.0,0.19508388607101051,0.12192742879438156,1,1,0,0.0,0.13005592404734034,0.1137989335414228,1,1,0,0.0,0.008088595632310687,0.010732932741419076,1,1,0,0.2044881698261664,0.2044881698261664,0.2044881698261664,0,0,0,0.185325,0.21381921498971826,0.185325,0,0,0,0.49756190476190454,0.7412898443291327,0.49756190476190454,0,0,0,0.0,0.0010951180861776,0.02,1,1,0,5,5,0
graphene_2d_materials::https://openalex.org/W1998846705,graphene_2d_materials,1994,Metal and Thin Film Mechanics,0,61,field_all_years,1.4826,1.5606710885680841,1.4826,0,0,0,0.5171784652953966,0.5171784652953966,0.5171784652953966,0,0,0,0.2118,0.49419322955275513,0.30887076847047196,1,0,0,0.0,0.0836073797447188,0.07315645727662895,1,1,0,0.0008814506539832035,0.015107506328731448,0.015107506328731448,1,0,0,0.14452054047061388,0.34036168793717186,0.17018084396858593,1,0,0,0.07759913793103447,0.15164083581149979,0.07759913793103447,0,0,0,0.46853999207292907,0.4941932295527552,0.46853999207292907,0,0,0,0.0,0.0,0.02,1,1,0,5,2,0
graphene_2d_materials::https://openalex.org/W2042663049,graphene_2d_materials,1994,Metal and Thin Film Mechanics,0,61,field_all_years,1.4826,1.5606710885680841,1.4826,0,0,0,0.5171784652953966,0.5171784652953966,0.5171784652953966,0,0,0,0.2118,0.49419322955275513,0.30887076847047196,1,0,0,0.0,0.0836073797447188,0.07315645727662895,1,1,0,0.0008814506539832035,0.015107506328731448,0.015107506328731448,1,0,0,0.14452054047061388,0.34036168793717186,0.17018084396858593,1,0,0,0.07759913793103447,0.15164083581149979,0.07759913793103447,0,0,0,0.46853999207292907,0.4941932295527552,0.46853999207292907,0,0,0,0.0,0.0,0.02,1,1,0,5,2,0
graphene_2d_materials::https://openalex.org/W2042845138,graphene_2d_materials,1994,Metal and Thin Film Mechanics,0,61,field_all_years,1.4826,1.5606710885680841,1.4826,0,0,0,0.5171784652953966,0.5171784652953966,0.5171784652953966,0,0,0,0.2118,0.49419322955275513,0.30887076847047196,1,0,0,0.0,0.0836073797447188,0.07315645727662895,1,1,0,0.0008236666666667311,0.015107506328731448,0.015107506328731448,1,0,0,0.14452054047061388,0.34036168793717186,0.17018084396858593,1,0,0,0.07589499999999999,0.15164083581149979,0.07589499999999999,0,0,0,0.46853999207292907,0.4941932295527552,0.46853999207292907,0,0,0,0.0,0.0,0.02,1,1,0,5,2,0
graphene_2d_materials::https://openalex.org/W2057851761,graphene_2d_materials,1994,Graphene research and applications,0,5920,all_non_landmark,1.4826,2.7311744049941473,1.4826,0,0,0,0.42526302847758135,0.559671429301575,0.42526302847758135,0,0,0,0.1872084895104895,0.39016777214202103,0.24385485758876313,1,0,0,0.0,0.06502796202367017,0.0568994667707114,1,1,0,0.0,0.021461440139486837,0.021461440139486837,1,1,1,0.1601675703154666,0.17528005756859005,0.1601675703154666,0,0,1,0.09683928021503653,0.15658824843049315,0.09683928021503653,0,0,1,0.4832627234097466,0.4832627234097466,0.4832627234097466,0,0,0,0.0,0.0024426947659084764,0.02,1,1,0,4,3,3
graphene_2d_materials::https://openalex.org/W2334006453,graphene_2d_materials,1994,2D Materials and Applications,0,5920,all_non_landmark,1.4826,2.7311744049941473,1.4826,0,0,0,0.42526302847758135,0.559671429301575,0.42526302847758135,0,0,0,0.18786560563380278,0.39016777214202103,0.24385485758876313,1,0,0,0.0,0.06502796202367017,0.0568994667707114,1,1,0,0.0,0.021484188578262786,0.021484188578262786,1,1,0,0.1601675703154666,0.17528005756859005,0.1601675703154666,0,0,0,0.09683174197215118,0.1563643196671339,0.09683174197215118,0,0,0,0.4821326674321762,0.4821326674321762,0.4821326674321762,0,0,0,0.0,0.0024426947659084764,0.02,1,1,0,4,3,0
graphene_2d_materials::https://openalex.org/W1983956165,graphene_2d_materials,1995,2D Materials and Applications,0,5920,all_non_landmark,1.4826,2.7311744049941473,1.4826,0,0,0,0.42526302847758135,0.559671429301575,0.42526302847758135,0,0,0,0.1872084895104895,0.39016777214202103,0.24385485758876313,1,0,0,0.0,0.06502796202367017,0.0568994667707114,1,1,1,0.0,0.021461440139486837,0.021461440139486837,1,1,1,0.1601675703154666,0.17528005756859005,0.1601675703154666,0,0,0,0.09683928021503653,0.15658824843049315,0.09683928021503653,0,0,1,0.4821326674321762,0.4821326674321762,0.4821326674321762,0,0,0,0.0,0.0024426947659084764,0.02,1,1,0,4,3,3
graphene_2d_materials::https://openalex.org/W2013005775,graphene_2d_materials,1995,Metal and Thin Film Mechanics,0,61,field_all_years,1.4826,1.5606710885680841,1.4826,0,0,0,0.5171784652953966,0.5171784652953966,0.5171784652953966,0,0,0,0.2118,0.49419322955275513,0.30887076847047196,1,0,0,0.0,0.0836073797447188,0.07315645727662895,1,1,0,0.0008236666666667311,0.015107506328731448,0.015107506328731448,1,0,0,0.14452054047061388,0.34036168793717186,0.17018084396858593,1,0,0,0.07589499999999999,0.15164083581149979,0.07589499999999999,0,0,0,0.46853999207292907,0.4941932295527552,0.46853999207292907,0,0,0,0.0,0.0,0.02,1,1,0,5,2,0
graphene_2d_materials::https://openalex.org/W2018823200,graphene_2d_materials,1995,Catalysis and Hydrodesulfurization Studies,0,123,field_all_years,1.4826,1.5606710885680841,1.4826,0,0,0,1.4827318040026374e-12,0.3666903136385563,0.18334515681927815,1,1,0,0.0,0.19508388607101051,0.12192742879438156,1,1,0,0.0,0.13005592404734034,0.1137989335414228,1,1,0,0.0,0.008088595632310687,0.010732932741419076,1,1,0,0.2044881698261664,0.2044881698261664,0.2044881698261664,0,0,0,0.1934697768762678,0.21381921498971826,0.1934697768762678,0,0,0,0.49756190476190454,0.7412898443291327,0.49756190476190454,0,0,0,0.0,0.0010951180861776,0.02,1,1,0,5,5,0
graphene_2d_materials::https://openalex.org/W2040403588,graphene_2d_materials,1995,Carbon Nanotubes in Composites,0,5920,all_non_landmark,1.4826,2.7311744049941473,1.4826,0,0,0,0.42526302847758135,0.559671429301575,0.42526302847758135,0,0,0,0.18786560563380278,0.39016777214202103,0.24385485758876313,1,0,0,0.0,0.06502796202367017,0.0568994667707114,1,1,0,0.0,0.021484188578262786,0.021484188578262786,1,1,0,0.1601675703154666,0.17528005756859005,0.1601675703154666,0,0,0,0.09683174197215118,0.1563643196671339,0.09683174197215118,0,0,0,0.4821326674321762,0.4821326674321762,0.4821326674321762,0,0,0,0.0,0.0024426947659084764,0.02,1,1,0,4,3,0
graphene_2d_materials::https://openalex.org/W2049449367,graphene_2d_materials,1995,Catalysis and Hydrodesulfurization Studies,0,123,field_all_years,1.4826,1.5606710885680841,1.4826,0,0,0,1.4827318040026374e-12,0.3666903136385563,0.18334515681927815,1,1,0,0.0,0.19508388607101051,0.12192742879438156,1,1,0,0.0,0.13005592404734034,0.1137989335414228,1,1,0,0.0,0.008088595632310687,0.010732932741419076,1,1,0,0.2044881698261664,0.2044881698261664,0.2044881698261664,0,0,0,0.185325,0.20081362258498428,0.185325,0,0,0,0.49756190476190454,0.7412898443291327,0.49756190476190454,0,0,0,0.0,0.0010951180861776,0.02,1,1,0,5,5,0
graphene_2d_materials::https://openalex.org/W2056663269,graphene_2d_materials,1995,Metal and Thin Film Mechanics,0,61,field_all_years,1.4826,1.5606710885680841,1.4826,0,0,0,0.5171784652953966,0.5171784652953966,0.5171784652953966,0,0,0,0.2118,0.49419322955275513,0.30887076847047196,1,0,0,0.0,0.0836073797447188,0.07315645727662895,1,1,0,0.0008814506539832035,0.015107506328731448,0.015107506328731448,1,0,0,0.14452054047061388,0.34036168793717186,0.17018084396858593,1,0,0,0.07759913793103447,0.15164083581149979,0.07759913793103447,0,0,0,0.46853999207292907,0.4941932295527552,0.46853999207292907,0,0,0,0.0,0.0,0.02,1,1,0,5,2,0
