paper_id,article_id,journal,year,doi,title,abstract,keywords,openalex_id,article_markdown_path,peer_review_markdown_path,article_word_count,peer_review_word_count,has_peer_review_text,screen_pass,fig3_sw,fig3_sw_percentile,fig3_sw_tier,fig4_sw_batch_percentile,fig4_sw_ladder_tier,graph_confidence,graph_metric_valid,metric_source,top_mechanisms,weighted_score_fig3,retrieval_source,s2_key_status
s41467-023-35925-2,s41467-023-35925-2,Nature Communications,2023,10.1038/s41467-023-35925-2,Mechanochemically accessing a challengingto-synthesize depolymerizable polymer,"Polymers with low ceiling temperatures (Tc) are highly desirable as they can depolymerize under mild conditions, but they typically suffer from demanding synthetic conditions and poor stability. We envision that this challenge can be addressed by developing high-Tc polymers that can be converted into low-Tc polymers on demand. Here, we demonstrate the mechanochemical generation of a low-Tc polymer, poly(2,5-dihydrofuran) (PDHF), from an unsaturated polyether that contains cyclobutane-fused THF in each repeat unit. Upon mechanically induced cycloreversion of cyclobutane, each repeat unit generates three repeat units of PDHF. The resulting PDHF completely depolymerizes into 2,5-dihydrofuran in the presence of a ruthenium catalyst. The mechanochemical generation of the otherwise difficult-to-synthesize PDHF highlights the power of polymer mechanochemistry in accessing elusive structures. The concept of mechanochemically regulating the Tc of polymers can be applied to develop next-generation sustainable plastics.",,,/mnt/d/aspr_nature_markdown/paper/s41467-023-35925-2.md,/mnt/d/aspr_nature_markdown/peer_review/s41467-023-35925-2_r.md,6495,248,True,False,2.667746059652197,0.999765625,high,0.95,high,0.9399999999999998,True,agent_graph_metric_evidence,"PDE=0.98 Prospective diffusion entropy / 潜在扩散熵, B=0.95 Bridge position / 跨社区桥接位置, RS=0.95 Rao-Stirling breadth / 跨学科知识广度",2.667746059652197,openalex,openalex_key_ok
s41467-023-37794-1,s41467-023-37794-1,Nature Communications,2023,10.1038/s41467-023-37794-1,Disorder-enabled Andreev reflection of a quantum Hall edge,"**----- Start of picture text -----**<br> Received: 6 September 2022 Vladislav D. Kurilovich 1 , Zachary M. Raines [1] & Leonid I. Glazman 1<br>Accepted: 28 March 2023<br>We develop a theory of charge transport along the quantum Hall edge<br>proximitized by a superconductor. We note that generically Andreev<br>Check for updates<br>**----- End of picture text -----**<br>",,,/mnt/d/aspr_nature_markdown/paper/s41467-023-37794-1.md,/mnt/d/aspr_nature_markdown/peer_review/s41467-023-37794-1_r.md,6153,5973,True,True,1.3665658771870932,0.952578125,high,0.09,low,0.9249999999999998,True,agent_graph_metric_evidence,"B=1.00 Bridge position / 跨社区桥接位置, RS=1.00 Rao-Stirling breadth / 跨学科知识广度, RTD=1.00 Reference target diversity / 参考目标社区多样性",1.3665658771870932,openalex,openalex_key_ok
s41467-023-39516-z,s41467-023-39516-z,Nature Communications,2023,10.1038/s41467-023-39516-z,Subcellular second messenger networks drive distinct repellent-induced axon behaviors,"Second messengers, including cAMP, cGMP and Ca[[2+]] are often placed in an integrating position to combine the extracellular cues that orient growing axons in the developing brain. This view suggests that axon repellents share the same set of cellular messenger signals and that axon attractants evoke opposite cAMP, cGMP and Ca[2+] changes. Investigating the confinement of these second messengers in cellular nanodomains, we instead demonstrate that two repellent cues, ephrin-A5 and Slit1, induce spatially segregated signals. These guidance molecules activate subcellular-specific second messenger crosstalk, each signaling network controlling distinct axonal morphology changes in vitro and pathfinding decisions in vivo.",,,/mnt/d/aspr_nature_markdown/paper/s41467-023-39516-z.md,/mnt/d/aspr_nature_markdown/peer_review/s41467-023-39516-z_r.md,14855,7861,True,True,2.6696080808114204,0.999765625,high,0.98,high,0.9549999999999998,True,agent_graph_metric_evidence,"PDE=0.97 Prospective diffusion entropy / 潜在扩散熵, Uzzi=0.96 Atypical recombination / 非典型组合, B=0.96 Bridge position / 跨社区桥接位置",2.6696080808114204,openalex,openalex_key_ok
s41467-023-43436-3,s41467-023-43436-3,Nature Communications,2023,10.1038/s41467-023-43436-3,Design principles for sodium superionic conductors,"chemical similarities between Li[+] and Na[+] , a common approach of developing Na-SICs is to make Na counterparts of known Li SICs, but the outcomes are underwhelming. For example, while Li-SIC LGPS (σRT = 12 mS/cm) is a major breakthrough[1] , its Na-analogy Na10SnP2S12 in the same structure only achieved a much lower ionic conductivity σRT of 0.4 mS/cm.[30] For another inspiring discovery of halide Li-SIC Li3MX6 (M = Y, Sc, In, Er, etc., X = Cl, Br) with high ionic conductivity σRT > 1 mS/cm,[19][–][21] the Na-halide counterpart Na2ZrCl6 with the same hexagonal close-packed (hcp) Cl-anion framework as Li3YCl6 only exhibits a limited σRT of 0.02 mS/cm.[31] Moreover, Li-garnet[16] and Liargyrodite[18][,][22] , which are successfully demonstrated as solid electrolytes for solid-state lithium batteries with excellent cell performances[32][,][33] , have no Na counterparts. For Na SICs, W-doped Na3SbS434 has a reported σRT of 32 mS/cm, but its structures differ significantly from its Li-counterparts. As clearly indicated by these facts, the crystalstructures thatyield the lowenergy barriers for Li[+] and Na[+] diffusion are different, but are not yet understood. It is not clear how the knowledge derived from known Na-SICs can be utilized to design and discover more Na-SICs. One cannot simply duplicate the design principles for Li-ion conductors to discover Na-ion conductors.",,,/mnt/d/aspr_nature_markdown/paper/s41467-023-43436-3.md,/mnt/d/aspr_nature_markdown/peer_review/s41467-023-43436-3_r.md,8273,461,True,True,2.0350800406860468,0.994296875,high,0.29,low,0.9999999999999999,True,agent_graph_metric_evidence,"PDE=0.88 Prospective diffusion entropy / 潜在扩散熵, Uzzi=0.79 Atypical recombination / 非典型组合, B=0.75 Bridge position / 跨社区桥接位置",2.0350800406860468,openalex,openalex_key_ok
s41551-023-01133-y,s41551-023-01133-y,Nature Biomedical Engineering,2023,10.1038/s41551-023-01133-y,**nature biomedical engineering**,"The immunogenicity of transplanted allogeneic cells and tissues is a major hurdle to the advancement of cell therapies. Here we show that the overexpression of e ig ht i mm un om od ul atory transgenes ( _Pdl1_ , _Cd200_ , _Cd47_ , _H2-M3_ , _Fasl_ , _Serpinb9_ , _Ccl21_ and _Mfge8_ ) in mouse embryonic stem cells (mESCs) is sufficient to i mm un ol og ically ‘cloak’ the cells as well as tissues derived from them, allowing their survival for months in outbred and allogeneic inbred recipients. Overexpression of the human orthologues of these genes in human ESCs abolished the activation of allogeneic human peripheral blood mononuclear cells and their inflammatory responses. Moreover, by using the previously reported FailSafe transgene system, which transcriptionally links a gene essential for cell division with an inducible and cell-proliferation-dependent kill switch, we generated cloaked tissues from mESCs that served as immune-privileged subcutaneous sites that protected uncloaked allogeneic and xenogeneic cells from rejection in immune-competent hosts. The combination of cloaking and FailSafe technologies may allow for the generation of safe and allogeneically accepted cell lines and off-the-shelf cell products.",,,/mnt/d/aspr_nature_markdown/paper/s41551-023-01133-y.md,/mnt/d/aspr_nature_markdown/peer_review/s41551-023-01133-y_r.md,19813,7215,True,True,1.3687162542980271,0.952890625,high,0.12,low,0.9099999999999999,True,agent_graph_metric_evidence,"B=1.00 Bridge position / 跨社区桥接位置, RS=1.00 Rao-Stirling breadth / 跨学科知识广度, RTD=1.00 Reference target diversity / 参考目标社区多样性",1.3687162542980271,openalex,openalex_key_ok
s41551-023-01156-5,s41551-023-01156-5,Nature Biomedical Engineering,2023,10.1038/s41551-023-01156-5,**nature biomedical engineering**,"Predicting the toxicity of cancer immunotherapies preclinically is challenging because models of tumours and healthy organs do not typically fully recapitulate the expression of relevant human antigens. Here we show that patient-derived intestinal organoids and tumouroids supplemented with immune cells can be used to study the on-target off-tumour toxicities of T-cell-engaging bispecific antibodies (TCBs), and to capture clinical toxicities not predicted by conventional tissue-based models as well as inter-patient variabilities in TCB responses. We analysed the mechanisms of T-cell-mediated damage of neoplastic and donor-matched healthy epithelia at a single-cell resolution using multiplexed immunofluorescence. We found that TCBs that target the epithelial cell-adhesion molecule led to apoptosis in healthy organoids in accordance with clinical observations, and that apoptosis is associated with T-cell activation, cytokine release and intra-epithelial T-cell infiltration. Conversely, tumour organoids were more resistant to damage, probably owing to a reduced efficiency of T-cell infiltration within the epithelium. Patient-derived intestinal organoids can aid the study of immune–epithelial interactions as well as the preclinical and clinical development of cancer immunotherapies.",,,/mnt/d/aspr_nature_markdown/paper/s41551-023-01156-5.md,/mnt/d/aspr_nature_markdown/peer_review/s41551-023-01156-5_r.md,17009,7761,True,True,2.376068651087148,0.998828125,high,0.91,high,0.9399999999999998,True,agent_graph_metric_evidence,"PDE=0.98 Prospective diffusion entropy / 潜在扩散熵, B=0.97 Bridge position / 跨社区桥接位置, RS=0.97 Rao-Stirling breadth / 跨学科知识广度",2.376068651087148,openalex,openalex_key_ok
s41556-023-01120-0,s41556-023-01120-0,Nature Cell Biology,2023,10.1038/s41556-023-01120-0,**nature cell biology**,"Epithelial cells that participated in wound repair elicit a more efficient response to future injuries, which is believed to be locally restricted. Here we show that cell adaptation resulting from a localized tissue damage has a wide spatial impact at a scale not previously appreciated. We demonstrate that a specific stem cell population, distant from the original injury, originates long-lasting wound memory progenitors residing in their own niche. Notably, these distal memory cells have not taken part in the first healing but become intrinsically pre-activated through priming. This cell state, maintained at the chromatin and transcriptional level, leads to an enhanced wound repair that is partially recapitulated through epigenetic perturbation. Importantly wound memory has long-term harmful consequences, exacerbating tumourigenesis. Overall, we show that sub-organ-scale adaptation to injury relies on spatially organized memory-dedicated progenitors, characterized by an actionable cell state that establishes an epigenetic field cancerization and predisposes to tumour onset.",,,/mnt/d/aspr_nature_markdown/paper/s41556-023-01120-0.md,/mnt/d/aspr_nature_markdown/peer_review/s41556-023-01120-0_r.md,22479,12245,True,True,1.3054882842020037,0.946484375,high,0.01,low,0.9999999999999999,True,agent_graph_metric_evidence,"PDE=0.82 Prospective diffusion entropy / 潜在扩散熵, Uzzi=0.69 Atypical recombination / 非典型组合, RS=0.61 Rao-Stirling breadth / 跨学科知识广度",1.3054882842020037,openalex,openalex_key_ok
s41556-023-01272-z,s41556-023-01272-z,Nature Cell Biology,2023,10.1038/s41556-023-01272-z,**nature cell biology**,"Early reports correlated CAV1 loss-of-function with perturbation of invadosome gelatinolytic activity[38][,][39] . Yet, the mechanism underlying caveola function in matrix degradation is unclear, and whether and how caveolae and invadosomes could work in concert during cancer cell invasion has not been addressed. In this Article, we unveil a cross-talk between invadosomes and caveolae in invasive cancer cells. We detected the presence of caveolae at PM–collagen fibril contact sites in an alternating distribution with invadosomes. Silencing of core caveola components negatively impinged on invadosome formation and activity. Reciprocally, invadosome disruption resulted in fibril-associated caveola accumulation. By monitoring fibril-associated caveolae and invadosomes over time, we showed that the peak of CAV1 and CAVIN1 recruitment preceded invadosome formation. Moreover, we observed that CAV1/CAVIN1 and β1 integrin collagen receptors co-localized at PM–fibril contact sites, with integrins controlling CAV1 recruitment to the fibrils. In turn, CAV1 mediated surface β1 integrin clearance together with bound ECM in an invadosome- and collagen-cleavage-dependent mechanism. Our data highlight a distribution and adhesion function for caveolar structures, which promote invadosome formation and control ECM remodelling, supporting a reciprocal interplay between invadosomes and caveolae in sensing and remodelling constricting matrix fibrils during tumour cell dissemination.",,,/mnt/d/aspr_nature_markdown/paper/s41556-023-01272-z.md,/mnt/d/aspr_nature_markdown/peer_review/s41556-023-01272-z_r.md,18793,26884,True,True,1.5997197360188837,0.974921875,high,0.25,low,0.9999999999999999,True,agent_graph_metric_evidence,"PDE=0.77 Prospective diffusion entropy / 潜在扩散熵, Uzzi=0.71 Atypical recombination / 非典型组合, B=0.64 Bridge position / 跨社区桥接位置",1.5997197360188837,openalex,openalex_key_ok
s41559-023-02056-2,s41559-023-02056-2,Nature Ecology & Evolution,2023,10.1038/s41559-023-02056-2,**nature ecology & evolution**,"The field of environmental DNA (eDNA) is advancing rapidly, yet human eDNA applications remain underutilized and underconsidered. Broader adoption of eDNA analysis will produce many well-recognized benefits for pathogen surveillance, biodiversity monitoring, endangered and invasive species detection, and population genetics. Here we show that deep-sequencing-based eDNA approaches capture genomic information from humans ( _Homo sapiens_ ) just as readily as that from the intended target species. We term this phenomenon human genetic bycatch (HGB). Additionally, high-quality human eDNA could be intentionally recovered from environmental substrates (water, sand and air), holding promise for beneficial medical, forensic and environmental applications. However, this also raises ethical dilemmas, from consent, privacy and surveillance to data ownership, requiring further consideration and potentially novel regulation. We present evidence that human eDNA is readily detectable from ‘wildlife’ environmental samples as human genetic bycatch, demonstrate that identifiable human DNA can be intentionally recovered from human-focused environmental sampling and discuss the translational and ethical implications of such findings.",,,/mnt/d/aspr_nature_markdown/paper/s41559-023-02056-2.md,/mnt/d/aspr_nature_markdown/peer_review/s41559-023-02056-2_r.md,17222,21691,True,True,2.6628087693587266,0.999609375,high,0.93,high,0.9999999999999999,True,agent_graph_metric_evidence,"PDE=0.95 Prospective diffusion entropy / 潜在扩散熵, Uzzi=0.91 Atypical recombination / 非典型组合, B=0.89 Bridge position / 跨社区桥接位置",2.6628087693587266,openalex,openalex_key_ok
s41559-023-02201-x,s41559-023-02201-x,Nature Ecology & Evolution,2023,10.1038/s41559-023-02201-x,**nature ecology & evolution**,"The influence of depth and associated gradients in light, nutrients and plankton on the ecological organization of tropical reef communities was first described over six decades ago but remains untested across broad geographies. During this time humans have become the dominant driver of planetary change, requiring that we revisit historic ecological paradigms to ensure they capture the dynamics of contemporary ecological systems. Analysing >5,500 in-water reef fish surveys between 0 and 30 m depth on reef slopes of 35 islands across the Pacific, we assess whether a depth gradient consistently predicts variation in reef fish biomass. We reveal predictable ecological organization at unpopulated locations, with increased biomass of planktivores and piscivores and decreased primary consumer biomass with increasing depth. Bathymetric steepness also had a striking influence on biomass patterns, primarily for planktivores, emphasizing potential links between local hydrodynamics and the upslope propagation of pelagic subsidies to the shallows. However, signals of resource-driven change in fish biomass with depth were altered or lost for populated islands, probably due to depleted fish biomass baselines. While principles of depth zonation broadly held, our findings expose limitations of the paradigm for predicting ecological dynamics where human impacts confound connections between ecological communities and their surrounding environment.",,,/mnt/d/aspr_nature_markdown/paper/s41559-023-02201-x.md,/mnt/d/aspr_nature_markdown/peer_review/s41559-023-02201-x_r.md,14704,26702,True,True,1.3605935691167914,0.952265625,high,0.07,low,0.9699999999999999,True,agent_graph_metric_evidence,"PDE=0.95 Prospective diffusion entropy / 潜在扩散熵, B=0.93 Bridge position / 跨社区桥接位置, RS=0.93 Rao-Stirling breadth / 跨学科知识广度",1.3605935691167914,openalex,openalex_key_ok
