source_key,source_path,copied_path,rows_or_records,sha256
peer_review_screen,outputs/kg_perturbation_fig4_full50/fig4_peer_review_screen.csv,data/review_innovation_opinions_v1/raw_sources/peer_review_screen.csv,50,92c3af4bcd1dddca821417407d34cb5e5ed908780a275457a4a20f95a04751d5
metrics_summary,outputs/kg_perturbation_fig4_full50/fig4_metrics_summary.csv,data/review_innovation_opinions_v1/raw_sources/metrics_summary.csv,50,bae17c5f9f05876356543eaf33e5b254085cea5b59a2c11544f13c3963244130
innovation_judgements,outputs/kg_perturbation_fig4_full50/fig4_innovation_label_judgements.jsonl,data/review_innovation_opinions_v1/raw_sources/innovation_judgements.jsonl,100,9f76c302d50402e0b2f5d6b5e583c20fb2afbce09e8700bda3a676024aaabafd
rating_judgements,outputs/kg_perturbation_fig4_full50/fig4_rating_judgements.jsonl,data/review_innovation_opinions_v1/raw_sources/rating_judgements.jsonl,100,f17241a9e3b05395d90cb2bc74c447ba1b1fbe3cd07ffd0e886ab30e06cd6c79
structured_consistency,outputs/kg_perturbation_fig4_full50/fig4_structured_consistency_judgements.jsonl,data/review_innovation_opinions_v1/raw_sources/structured_consistency.jsonl,50,a47e9cfddb7e474f991b33b446dbeaf8796749d62a7c17f09b187e3e1c7a9ef5
semantic_claim_matches,outputs/kg_perturbation_fig4_full50/fig4_semantic_claim_matches.jsonl,data/review_innovation_opinions_v1/raw_sources/semantic_claim_matches.jsonl,298,cbacb1989838969b6563fd86bc9b9f11fa3659b79563528ce63f110364b27a0d
agent_outputs,outputs/kg_perturbation_fig4_full50/fig4_agent_outputs.jsonl,data/review_innovation_opinions_v1/raw_sources/agent_outputs.jsonl,50,2f21c42518313a0974a50b1689c21f8ed8b331e5dcf6d6dc78f15eb36862e7f0
claim_examples,outputs/kg_perturbation_fig4_full50/fig4_claim_examples.json,data/review_innovation_opinions_v1/raw_sources/claim_examples.json,2,74c31b52d97be71d2dc7f78ca99df8e6940dae611a21bf7b72af8108846ac86b
fig10_ablation_results,outputs/kg_perturbation_fig10/fig10_ablation_results.csv,data/review_innovation_opinions_v1/raw_sources/fig10_ablation_results.csv,64,2c6a5f6243907457bf1a92a95fb7413ed260348bcf05b750cc539f3636ddbcd3
fig10_generic_baseline,outputs/kg_perturbation_fig10/fig10_generic_llm_same_rubric_results.csv,data/review_innovation_opinions_v1/raw_sources/fig10_generic_baseline.csv,50,d889819305f645e19f21da1f648e78ae1de94719ef6223aabb11acf84d8e5fe5
fig10_error_taxonomy,outputs/kg_perturbation_fig10/fig10_error_taxonomy.csv,data/review_innovation_opinions_v1/raw_sources/fig10_error_taxonomy.csv,32,ba81b034466cbb56e322124dc85ee42fac164864fc6684607d515cd32c3ef627
fig5_key_innovations,outputs/kg_perturbation_fig5/fig5_key_innovations.csv,data/review_innovation_opinions_v1/raw_sources/fig5_key_innovations.csv,4,17f088ec60d51b7f3f03a11713afe8cd6cc36b852af473a9d0f1d7dab1a2a080
fig5_forecast_innovations,outputs/kg_perturbation_fig5/plot_data/derived/forecast_innovations.csv,data/review_innovation_opinions_v1/raw_sources/fig5_forecast_innovations.csv,10,f4b5d2f11f899add8807e94abce7c21d64c1d6de31c60d14679c91f68fb4b2c1
