innovation_id,innovation_label,short_label,forecast_rank,predicted_role,short_reason,linked_focus_id,linked_focus_label,linked_topic_ids,representative_papers,icon_type,description,seed_year,seed_score,color_group,display_color
innovation_1,Excitons in ultrathin organic-inorganic perovskite crystals,Excitons in ultrathin organic-inorganic...,1,key enabling innovation,High-scoring seed for Perovskite Materials and....,graphene_2d_materials::19426606,Perovskite Materials and Applications,"[""graphene_2d_materials::19426606""]","[""graphene_2d_materials::https://openalex.org/W2415315768""]",method,Excitons in ultrathin organic-inorganic perovskite... anchors the predicted focus Perovskite Materials and....,2015,1.996977302154447,platform,#059669
innovation_2,Designed hybrid nanostructure with catalytic effect: beyond the...,Designed hybrid nanostructure with...,2,paradigm connector,High-scoring seed for Advancements in Battery....,graphene_2d_materials::19391892,Advancements in Battery Materials,"[""graphene_2d_materials::19391892""]","[""graphene_2d_materials::https://openalex.org/W1981929833""]",cross_domain,Designed hybrid nanostructure with catalytic effect:... anchors the predicted focus Advancements in Battery Materials.,2015,2.4485907545031,platform,#059669
innovation_3,Two-Dimensional Materials for Sensing: Graphene and Beyond,Two-Dimensional Materials for Sensing:...,3,key enabling innovation,High-scoring seed for Gas Sensing Nanomaterials and....,graphene_2d_materials::19461184,Gas Sensing Nanomaterials and Sensors,"[""graphene_2d_materials::19461184""]","[""graphene_2d_materials::https://openalex.org/W1898372800""]",method,Two-Dimensional Materials for Sensing: Graphene and Beyond anchors the predicted focus Gas Sensing Nanomaterials and....,2015,1.9558020932547409,platform,#059669
innovation_4,Hypoxia: an alarm signal during intestinal inflammation,Hypoxia: an alarm signal during...,4,key enabling innovation,"High-scoring seed for Cancer, Hypoxia, and Metabolism.",ubiquitin_and_proteasome_pathways::33520275,"Cancer, Hypoxia, and Metabolism","[""ubiquitin_and_proteasome_pathways::33520275""]","[""ubiquitin_and_proteasome_pathways::https://openalex.org/W2018782206""]",method,"Hypoxia: an alarm signal during intestinal inflammation anchors the predicted focus Cancer, Hypoxia, and Metabolism.",2010,1.714604787669213,ubiquitin_and_proteasome_pathways,#DC2626
innovation_5,The Role of Oxidative Stress in Parkinson's Disease,The Role of Oxidative Stress in...,5,key enabling innovation,High-scoring seed for Parkinson's Disease....,ubiquitin_and_proteasome_pathways::33417968,Parkinson's Disease Mechanisms and Treatments,"[""ubiquitin_and_proteasome_pathways::33417968""]","[""ubiquitin_and_proteasome_pathways::https://openalex.org/W1588992136""]",application,The Role of Oxidative Stress in Parkinson's Disease anchors the predicted focus Parkinson's Disease Mechanisms....,2013,1.7353604418416766,application,#2563EB
innovation_6,Spin Hall effects,Spin Hall effects,6,key enabling innovation,High-scoring seed for Magnetic properties of thin....,topological_insulators::75377446,Magnetic properties of thin films,"[""topological_insulators::75377446""]","[""topological_insulators::https://openalex.org/W2566076131""]",method,Spin Hall effects anchors the predicted focus Magnetic properties of thin films.,2015,2.11555827083552,topological_insulators,#D97706
innovation_7,The Human Neonatal Gut Microbiome: A Brief Review,The Human Neonatal Gut Microbiome: A...,7,key enabling innovation,High-scoring seed for Diet and metabolism studies.,microbiome_metagenomics::93006049,Diet and metabolism studies,"[""microbiome_metagenomics::93006049""]","[""microbiome_metagenomics::https://openalex.org/W2043763161""]",method,The Human Neonatal Gut Microbiome: A Brief Review anchors the predicted focus Diet and metabolism studies.,2015,1.4751875877543583,microbiome_metagenomics,#0F766E
innovation_8,Supercapacitor electrode materials: nanostructures from 0 to 3...,Supercapacitor electrode materials:...,8,key enabling innovation,High-scoring seed for Supercapacitor Materials and....,graphene_2d_materials::19409840,Supercapacitor Materials and Fabrication,"[""graphene_2d_materials::19409840""]","[""graphene_2d_materials::https://openalex.org/W2152754138""]",method,Supercapacitor electrode materials: nanostructures from... anchors the predicted focus Supercapacitor Materials and....,2014,1.4691805790148975,platform,#059669
innovation_9,An Overview of MYC and Its Interactome,An Overview of MYC and Its Interactome,9,key enabling innovation,High-scoring seed for Protein Degradation and....,ubiquitin_and_proteasome_pathways::37999299,Protein Degradation and Inhibitors,"[""ubiquitin_and_proteasome_pathways::37999299""]","[""ubiquitin_and_proteasome_pathways::https://openalex.org/W2159290008""]",method,An Overview of MYC and Its Interactome anchors the predicted focus Protein Degradation and Inhibitors.,2014,1.1216975838028187,platform,#059669
innovation_10,"Yb- and Er-doped fiber laser Q-switched with an optically uniform,...",Yb- and Er-doped fiber laser Q-switched...,10,key enabling innovation,High-scoring seed for Advanced Fiber Laser....,graphene_2d_materials::19547258,Advanced Fiber Laser Technologies,"[""graphene_2d_materials::19547258""]","[""graphene_2d_materials::https://openalex.org/W2963664010""]",method,Yb- and Er-doped fiber laser Q-switched with an... anchors the predicted focus Advanced Fiber Laser Technologies.,2015,2.020429289424818,graphene_2d_materials,#4D7C0F
