domain_id,display_name,family,status,event_year,analysis_end_year,landmark_policy,n_works,local_reference_closure,topic_coverage,duplicate_doi_rate,clean_landmark_rows,matched_clean_landmark_rows,fig3_ready,fig3_eligible_metric_papers,fig3_eligible_metric_landmarks,recommended_role,failure_reasons,fig3_readiness_failures,publication_score,reason_for_inclusion_or_exclusion,notes
crispr,CRISPR-Cas genome editing,biology_biomedicine,main_ready,2012.0,2025,validated_doi_or_openalex,3998,0.9504773693448727,1.0,0.0,3,3,True,973,3,main_candidate,,,1.0,passes_all_current_data_gates,passes_all_current_data_gates
ipsc_reprogramming,iPSC and cellular reprogramming,biology_biomedicine,main_ready,2006.0,2025,validated_doi_or_openalex,3864,0.9512582378145594,1.0,0.0,3,3,True,2151,3,main_candidate,,,1.0,passes_all_current_data_gates,passes_all_current_data_gates
perovskite_solar_cells,Perovskite solar cells,materials_chemistry,main_ready,2009.0,2025,validated_doi_or_openalex,2796,0.979702840776084,1.0,0.0,2,2,True,472,2,main_candidate,,,1.0,passes_all_current_data_gates,passes_all_current_data_gates
spectroscopy_and_quantum_chemical_studies,Spectroscopy and Quantum Chemical Studies,materials_chemistry,main_ready,1987.0,2025,validated_doi_or_openalex,2696,0.9763855177993528,1.0,0.0,2,2,True,1206,2,main_candidate,,,1.0,passes_all_current_data_gates,passes_all_current_data_gates
exoplanets,Exoplanets,physics_astronomy,main_ready,1995.0,2025,validated_doi_or_openalex,2641,0.9527772523800517,1.0,0.0,1,1,True,1261,1,main_candidate,,,0.93,passes_all_current_data_gates,passes_all_current_data_gates
genetics_aging_and_longevity_in_model_organisms,"Genetics, Aging, and Longevity in Model Organisms",biology_biomedicine,main_ready,1999.0,2025,validated_doi_or_openalex,2542,0.9676539876651049,1.0,0.0,1,1,True,1891,1,main_candidate,,,0.93,passes_all_current_data_gates,passes_all_current_data_gates
graphene_2d_materials,Graphene and 2D materials,materials_chemistry,main_ready,2004.0,2025,validated_doi_or_openalex,3986,0.9801007377979569,1.0,0.0,1,1,True,2903,1,main_candidate,,,0.93,passes_all_current_data_gates,passes_all_current_data_gates
topological_insulators,Topological insulators,physics_astronomy,main_ready,2005.0,2025,validated_doi_or_openalex,2527,0.8936361526859264,1.0,0.0,1,1,True,779,1,main_candidate,,,0.93,passes_all_current_data_gates,passes_all_current_data_gates
mass_spectrometry_techniques_and_applications,Mass Spectrometry Techniques and Applications,materials_chemistry,main_ready,1987.0,2025,validated_doi_or_openalex,2500,0.9794072631139558,1.0,0.0004,1,1,True,1192,1,main_candidate,,,0.9252,passes_all_current_data_gates,passes_all_current_data_gates
ubiquitin_and_proteasome_pathways,Ubiquitin and proteasome pathways,biology_biomedicine,main_ready,1998.0,2025,validated_doi_or_openalex,2500,0.9794132932956054,1.0,0.0044,1,1,True,1692,1,main_candidate,,,0.8772,passes_all_current_data_gates,passes_all_current_data_gates
magnetic_properties_of_thin_films,Magnetic properties of thin films,physics_astronomy,main_ready,1995.0,2025,validated_doi_or_openalex,4117,0.8091836239918541,1.0,0.004615010930289046,1,1,True,2366,1,main_candidate,,,0.87462,passes_all_current_data_gates,passes_all_current_data_gates
gamma_ray_bursts_and_supernovae,Gamma-ray bursts and supernovae,physics_astronomy,main_ready,1998.0,2025,validated_doi_or_openalex,2500,0.8052563150074294,1.0,0.0076,1,1,True,1637,1,main_candidate,,,0.8388,passes_all_current_data_gates,passes_all_current_data_gates
advanced_mri_techniques_and_applications,Advanced MRI Techniques and Applications,biology_biomedicine,repair_landmark,1981.0,2025,validated_doi_or_openalex,2515,0.9831937434133895,1.0,0.0,1,1,False,1170,0,main_candidate,,fig3_metric_landmarks,0.93,fig3_metric_landmarks,fig3_metric_landmarks
protein_structure_and_dynamics,Protein Structure and Dynamics,biology_biomedicine,repair_landmark,2021.0,2025,validated_doi_or_openalex,2500,0.8921524201853759,1.0,0.0,1,1,False,1204,0,main_candidate,,fig3_metric_landmarks,0.93,fig3_metric_landmarks,fig3_metric_landmarks
gravitational_waves,Gravitational waves,physics_astronomy,repair_landmark,2016.0,2025,validated_doi_or_openalex,2425,0.8902734917905349,1.0,0.0,1,1,False,764,0,rebuild_needed,n_works,fig3_metric_landmarks,0.9234,fig3_metric_landmarks,fig3_metric_landmarks
nanopore_sequencing,Nanopore sequencing,biology_biomedicine,repair_landmark,1996.0,2025,validated_doi_or_openalex,2581,0.8383712399119589,1.0,0.0003874467260751647,1,1,False,73,1,rebuild_needed,landmark_controls,fig3_metric_papers,0.896551,landmark_controls,landmark_controls
sustainable_development_and_environmental_policy,Sustainable Development and Environmental Policy,other_science,repair_landmark,1986.0,2025,validated_doi_or_openalex,2114,0.858013273854858,1.0,0.0,1,1,False,544,0,rebuild_needed,n_works,fig3_metric_landmarks,0.896032,fig3_metric_landmarks,fig3_metric_landmarks
climate_attribution_models,Climate attribution and earth-system modeling,other_science,repair_landmark,,2025,no_clean_landmark,2717,0.9680397275100274,1.0,0.0,0,0,False,315,0,rebuild_needed,missing_clean_landmark;landmark_controls,fig3_metric_landmarks,0.74,landmark_controls;missing_clean_landmark,landmark_controls;missing_clean_landmark
hydrogen_electrocatalysis,Hydrogen electrocatalysis,materials_chemistry,repair_landmark,,2025,no_clean_landmark,2532,0.9208956854178045,1.0,0.0,0,0,False,346,0,rebuild_needed,missing_clean_landmark;landmark_controls,fig3_metric_landmarks,0.74,landmark_controls;missing_clean_landmark,landmark_controls;missing_clean_landmark
lithium_ion_solid_state_batteries,Lithium-ion and solid-state batteries,other_science,repair_landmark,,2025,no_clean_landmark,2645,0.8941568696262502,1.0,0.0,0,0,False,546,0,rebuild_needed,missing_clean_landmark;landmark_controls,fig3_metric_landmarks,0.74,landmark_controls;missing_clean_landmark,landmark_controls;missing_clean_landmark
quantum_computing,Quantum computing,computational_methods,repair_landmark,,2025,no_clean_landmark,2679,0.8630398256209981,1.0,0.0,0,0,False,406,0,rebuild_needed,missing_clean_landmark;landmark_controls,fig3_metric_landmarks,0.74,landmark_controls;missing_clean_landmark,landmark_controls;missing_clean_landmark
bayesian_causal_inference,Bayesian causal inference,other_science,repair_landmark,,2025,no_clean_landmark,2430,0.8450479233226837,1.0,0.0,0,0,False,126,0,rebuild_needed,n_works;missing_clean_landmark;landmark_controls,fig3_metric_papers;fig3_metric_landmarks,0.73384,landmark_controls;missing_clean_landmark,landmark_controls;missing_clean_landmark
theoretical_and_computational_physics,Theoretical and Computational Physics,physics_astronomy,repair_landmark,1971.0,2025,validated_doi_or_openalex,2417,0.9762143214822233,1.0,0.0,1,0,False,818,0,rebuild_needed,n_works;unmatched_clean_landmark;landmark_controls,fig3_metric_landmarks,0.732696,landmark_controls;unmatched_clean_landmark,landmark_controls;unmatched_clean_landmark
gender_labor_and_family_dynamics,"Gender, Labor, and Family Dynamics",other_science,repair_landmark,1976.0,2025,validated_doi_or_openalex,2292,0.8855057589234805,1.0,0.0,1,0,False,593,0,rebuild_needed,n_works;unmatched_clean_landmark;landmark_controls,fig3_metric_landmarks,0.721696,landmark_controls;unmatched_clean_landmark,landmark_controls;unmatched_clean_landmark
aav_gene_therapy,AAV and gene therapy,biology_biomedicine,repair_landmark,,2025,no_clean_landmark,1854,0.9155284723681446,1.0,0.0,0,0,False,262,0,rebuild_needed,n_works;missing_clean_landmark;landmark_controls,fig3_metric_papers;fig3_metric_landmarks,0.683152,landmark_controls;missing_clean_landmark,landmark_controls;missing_clean_landmark
mrna_vaccines_lnp,mRNA vaccines and lipid nanoparticles,biology_biomedicine,repair_closure,2005.0,2025,validated_doi_or_openalex,2688,0.7557620972783728,1.0,0.0,2,2,False,251,1,rebuild_needed,reference_closure,fig3_metric_papers,0.991152,reference_closure,reference_closure
car_t_cell_therapy,CAR-T cell therapy,biology_biomedicine,repair_closure,2011.0,2025,validated_doi_or_openalex,2328,0.7975857786058066,1.0,0.0,2,2,False,74,1,rebuild_needed,n_works;reference_closure,fig3_metric_papers,0.984381,reference_closure,reference_closure
diffusion_generative_models,Diffusion and generative models,computational_methods,repair_closure,2020.0,2025,validated_doi_or_openalex,2460,0.727390180878553,1.0,0.0,2,2,False,148,0,rebuild_needed,n_works;reference_closure,fig3_metric_papers;fig3_metric_landmarks,0.981958,reference_closure,reference_closure
