domain,display_name,field_name,family,n_works,n_landmarks,first_landmark_year,n_citation_rows,local_reference_closure,quality_score,quality_pass,failure_reasons
autophagy_in_disease_and_therapy,Autophagy in Disease and Therapy,Medicine,biology_biomedicine,800,3,2005,55426,0.0649514668206257,1.0,1,
crispr,CRISPR-Cas genome editing,"Biochemistry, Genetics and Molecular Biology",biology_biomedicine,800,3,2012,42612,0.1541819205857505,1.0,1,
economic_theory_and_institutions,Economic Theory and Institutions,"Economics, Econometrics and Finance",other_science,800,3,1972,30630,0.023800195886385895,1.0,1,
economic_theory_and_policy,Economic Theory and Policy,"Economics, Econometrics and Finance",other_science,800,3,1970,31201,0.031120797410339414,1.0,1,
financial_markets_and_investment_strategies,Financial Markets and Investment Strategies,"Economics, Econometrics and Finance",other_science,800,3,1975,32081,0.023503008010972225,1.0,1,
genetics_aging_and_longevity_in_model_organisms,"Genetics, Aging, and Longevity in Model Organisms","Biochemistry, Genetics and Molecular Biology",biology_biomedicine,800,3,1993,102964,0.03864457480284371,1.0,1,
income_poverty_and_inequality,"Income, Poverty, and Inequality",Social Sciences,other_science,800,3,1973,53283,0.025936978023009215,1.0,1,
ipsc_reprogramming,iPSC and cellular reprogramming,"Biochemistry, Genetics and Molecular Biology",biology_biomedicine,800,3,2006,83874,0.06313040990056513,1.0,1,
magnetic_properties_of_thin_films,Magnetic properties of thin films,Physics and Astronomy,physics_astronomy,800,3,1988,53103,0.024066436924467544,1.0,1,
mass_spectrometry_techniques_and_applications,Mass Spectrometry Techniques and Applications,Chemistry,materials_chemistry,800,3,1987,70285,0.020018496122928078,1.0,1,
perovskite_solar_cells,Perovskite solar cells,Materials Science,materials_chemistry,800,3,2009,49488,0.19261235046880051,1.0,1,
banking_stability_regulation_efficiency,"Banking stability, regulation, efficiency","Economics, Econometrics and Finance",other_science,800,2,1996,59896,0.03532790169627354,0.8888888888888888,1,
car_t_cell_therapy,CAR-T cell therapy,Medicine,biology_biomedicine,800,2,2011,52367,0.10993564649493001,0.8888888888888888,1,
economic_growth_and_productivity,Economic Growth and Productivity,"Economics, Econometrics and Finance",other_science,800,2,1977,21994,0.02191506774574884,0.8888888888888888,1,
economic_theories_and_models,Economic theories and models,"Economics, Econometrics and Finance",other_science,800,2,1998,25923,0.022605408324653783,0.8888888888888888,1,
gamma_ray_bursts_and_supernovae,Gamma-ray bursts and supernovae,Physics and Astronomy,physics_astronomy,800,2,1998,112737,0.06277442188456318,0.8888888888888888,1,
microbiome_metagenomics,Microbiome and metagenomics,Medicine,biology_biomedicine,800,2,2010,69940,0.10008578781812982,0.8888888888888888,1,
monetary_policy_and_economic_impact,Monetary Policy and Economic Impact,"Economics, Econometrics and Finance",other_science,800,2,1990,63506,0.026123515888262526,0.8888888888888888,1,
organoids,Organoids and stem-cell models,Medicine,biology_biomedicine,800,2,2009,147772,0.0582925046693555,0.8888888888888888,1,
single_cell_rna_seq,Single-cell RNA sequencing,"Biochemistry, Genetics and Molecular Biology",biology_biomedicine,800,2,2009,78872,0.09870422963789431,0.8888888888888888,1,
spectroscopy_and_quantum_chemical_studies,Spectroscopy and Quantum Chemical Studies,Physics and Astronomy,physics_astronomy,800,2,1987,101120,0.03907238924050633,0.8888888888888888,1,
synthetic_biology,Synthetic biology,"Biochemistry, Genetics and Molecular Biology",biology_biomedicine,800,2,2000,138275,0.051896582896402095,0.8888888888888888,1,
topological_insulators,Topological insulators,Physics and Astronomy,physics_astronomy,800,2,2005,86883,0.13160226971904745,0.8888888888888888,1,
ubiquitin_and_proteasome_pathways,Ubiquitin and proteasome pathways,"Biochemistry, Genetics and Molecular Biology",biology_biomedicine,800,2,1980,133823,0.04085246930647198,0.8888888888888888,1,
ancient_dna,Ancient DNA,Biochemistry Genetics and Molecular Biology,biology_biomedicine,800,1,1985,73350,0.09045671438309476,0.7777777777777778,1,
backpropagation_deep_learning,Backpropagation neural networks,Computer Science,methods_computing,800,1,1986,61127,0.05958087260948517,0.7777777777777778,1,
bose_einstein_condensates,Bose-Einstein condensates,Physics and Astronomy,physics_astronomy,800,1,1995,51891,0.0881077643521998,0.7777777777777778,1,
carbon_nanotubes,Carbon nanotubes,Materials Science,materials_chemistry,800,1,1991,84197,0.040357732460776514,0.7777777777777778,1,
causal_diagrams,Causal diagrams and graphical causal inference,Computer Science,methods_computing,800,1,1995,66635,0.047047347490057775,0.7777777777777778,1,
chip_seq_genomics,ChIP-seq genomics,Biochemistry Genetics and Molecular Biology,biology_biomedicine,800,1,2007,46871,0.09658424185530498,0.7777777777777778,1,
click_chemistry_cuaac,Click chemistry CuAAC,Chemistry,materials_chemistry,800,1,2002,111719,0.04309025322460817,0.7777777777777778,1,
colloidal_quantum_dots,Colloidal quantum dots,Materials Science,materials_chemistry,800,1,1993,63354,0.05268807020866875,0.7777777777777778,1,
convolutional_neural_networks,Convolutional neural networks,Computer Science,methods_computing,800,1,1998,46552,0.08893280632411067,0.7777777777777778,1,
covalent_organic_frameworks,Covalent organic frameworks,Chemistry,materials_chemistry,800,1,2005,66667,0.11534942325288373,0.7777777777777778,1,
dna_sequencing_sanger,DNA sequencing by chain termination,Biochemistry Genetics and Molecular Biology,biology_biomedicine,800,1,1977,46845,0.044914078343473156,0.7777777777777778,1,
dye_sensitized_solar_cells,Dye-sensitized solar cells,Materials Science,materials_chemistry,800,1,1991,65773,0.07975917169659283,0.7777777777777778,1,
environmental_metagenomics,Environmental metagenomics,Biochemistry Genetics and Molecular Biology,biology_biomedicine,800,1,2004,68356,0.10056176487799169,0.7777777777777778,1,
exoplanets,Exoplanets,Physics and Astronomy,physics_astronomy,800,1,1995,78892,0.08185874359884399,0.7777777777777778,1,
fractional_quantum_hall_effect,Fractional quantum Hall effect,Physics and Astronomy,physics_astronomy,800,1,1982,49176,0.050959817797299495,0.7777777777777778,1,
genome_wide_association_studies,Genome-wide association studies,Medicine,biology_biomedicine,800,1,2007,58084,0.09654982439225948,0.7777777777777778,1,
graphene_2d_materials,Graphene and 2D materials,Materials Science,materials_chemistry,800,1,2004,46631,0.07634406296240698,0.7777777777777778,1,
green_fluorescent_protein,GFP and fluorescent proteins,Biochemistry Genetics and Molecular Biology,biology_biomedicine,800,1,1994,51367,0.03406856542137948,0.7777777777777778,1,
high_entropy_alloys,High-entropy alloys,Materials Science,materials_chemistry,800,1,2004,65115,0.10476848652384244,0.7777777777777778,1,
high_tc_superconductivity,High-Tc superconductivity,Physics and Astronomy,physics_astronomy,800,1,1986,55367,0.0762909314212437,0.7777777777777778,1,
human_genome_project,Human Genome Project,Biochemistry Genetics and Molecular Biology,biology_biomedicine,800,1,2001,26323,0.10697868783953197,0.7777777777777778,1,
immune_checkpoint_therapy,Immune checkpoint therapy,Medicine,biology_biomedicine,800,1,2010,82622,0.08313766309215463,0.7777777777777778,1,
lasso_regularization,LASSO regularization,Computer Science,methods_computing,800,1,1996,52503,0.08795687865455307,0.7777777777777778,1,
