paper_id,success,novelty_consistency_1_5,significance_consistency_1_5,prior_art_consistency_1_5,evidence_rigor_consistency_1_5,limitations_consistency_1_5,future_work_consistency_1_5,stance_consistency_1_5,overclaiming_score_1_5,missing_key_points,contradictions
s41467-023-35925-2,True,4.0,5.0,4.0,4.0,5.0,5.0,,1.0,[],[]
s41467-023-37794-1,True,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,[],[]
s41467-023-39516-z,True,5.0,4.0,4.0,4.0,5.0,4.0,5.0,1.0,[],[]
s41467-023-43436-3,True,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,[],[]
s41551-023-01133-y,True,4.0,3.0,4.0,5.0,5.0,3.0,,1.0,[],[]
s41551-023-01156-5,True,5.0,3.0,4.0,3.0,5.0,3.0,,1.0,[],[]
s41556-023-01120-0,True,4.0,3.0,4.0,4.0,5.0,3.0,,1.0,[],[]
s41556-023-01272-z,True,5.0,4.0,4.0,4.0,5.0,5.0,,1.0,[],[]
s41559-023-02056-2,True,4.0,3.0,5.0,3.0,5.0,3.0,,1.0,[],[]
s41559-023-02201-x,True,4.0,3.0,4.0,4.0,5.0,3.0,,1.0,[],[]
s41564-023-01530-8,True,5.0,4.0,3.0,4.0,4.0,5.0,5.0,1.0,[],[]
s41590-023-01641-8,True,4.0,3.0,5.0,5.0,5.0,3.0,,1.0,[],[]
s41594-023-00923-x,True,4.0,3.0,4.0,5.0,5.0,3.0,,1.0,[],[]
s41467-024-45503-9,True,4.0,3.0,5.0,4.0,4.0,3.0,,1.0,[],[]
s41467-024-45610-7,True,5.0,5.0,4.0,4.0,5.0,4.0,,1.0,[],[]
s41467-024-48659-6,True,4.0,4.0,5.0,5.0,5.0,3.0,,1.0,[],[]
s41467-024-52907-0,True,4.0,5.0,3.0,4.0,5.0,5.0,,1.0,[],[]
s41467-024-53673-9,True,4.0,3.0,5.0,5.0,5.0,4.0,,1.0,[],[]
s41467-024-54489-3,True,5.0,2.0,5.0,5.0,4.0,4.0,5.0,1.0,[],[]
s41551-024-01220-8,True,4.0,3.0,4.0,4.0,5.0,4.0,,1.0,[],[]
s41551-024-01299-z,True,5.0,4.0,5.0,5.0,5.0,4.0,,1.0,[],[]
s41556-024-01442-7,True,4.0,3.0,4.0,3.0,5.0,3.0,,1.0,[],[]
s41559-024-02530-5,True,5.0,5.0,3.0,4.0,5.0,5.0,,1.0,[],[]
s41559-024-02600-8,True,4.0,4.0,4.0,4.0,5.0,5.0,,1.0,[],[]
s41564-024-01634-9,True,4.0,3.0,5.0,4.0,5.0,3.0,,1.0,[],[]
s41590-024-01922-w,True,4.0,4.0,5.0,4.0,5.0,3.0,4.0,1.0,[],[]
s41594-024-01313-7,True,5.0,4.0,3.0,3.0,5.0,5.0,,1.0,[],[]
s41467-025-57961-w,True,4.0,3.0,4.0,4.0,5.0,3.0,,1.0,[],[]
s41467-025-58469-z,True,2.0,4.0,3.0,4.0,5.0,4.0,5.0,1.0,[],[]
s41467-025-59370-5,True,4.0,3.0,5.0,5.0,5.0,4.0,,1.0,[],[]
s41467-025-59424-8,True,4.0,3.0,5.0,3.0,3.0,3.0,,1.0,[],[]
s41467-025-59859-z,True,3.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,[],[]
s41467-025-60104-w,True,4.0,3.0,5.0,3.0,5.0,2.0,3.0,1.0,[],[]
s41467-025-60185-7,True,5.0,3.0,5.0,4.0,5.0,3.0,4.0,1.0,[],[]
s41467-025-62003-6,True,2.0,5.0,3.0,4.0,5.0,5.0,,1.0,[],[]
s41467-025-62238-3,True,4.0,5.0,4.0,3.0,4.0,5.0,,1.0,[],[]
s41467-025-63136-4,True,4.0,5.0,4.0,4.0,5.0,5.0,,1.0,[],[]
s41467-025-63742-2,True,4.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,[],[]
s41467-025-64320-2,True,4.0,3.0,5.0,4.0,3.0,3.0,,1.0,[],[]
s41467-025-65212-1,True,5.0,4.0,5.0,4.0,5.0,4.0,5.0,1.0,[],[]
s41467-025-67985-x,True,4.0,3.0,4.0,5.0,5.0,3.0,,1.0,[],[]
s41551-025-01353-4,True,5.0,4.0,4.0,5.0,5.0,4.0,,1.0,[],[]
s41551-025-01536-z,True,4.0,3.0,5.0,4.0,5.0,3.0,,1.0,[],[]
s41556-025-01621-0,True,5.0,4.0,5.0,3.0,5.0,3.0,,1.0,[],[]
s41556-025-01799-3,True,4.0,5.0,3.0,5.0,3.0,5.0,,1.0,[],[]
s41559-025-02720-9,True,5.0,4.0,5.0,4.0,5.0,4.0,5.0,1.0,[],[]
s41559-025-02767-8,True,3.0,5.0,3.0,3.0,3.0,4.0,,1.0,[],[]
s41562-025-02108-6,True,4.0,3.0,5.0,3.0,5.0,3.0,,1.0,[],[]
s41590-025-02270-z,True,4.0,3.0,5.0,5.0,5.0,3.0,,1.0,[],[]
s41594-025-01596-4,True,4.0,5.0,4.0,4.0,4.0,4.0,5.0,1.0,[],[]
