domain,landmark_source,accepted_landmark_source,source_id,label,id,doi,title,year,match_confidence,include_main,needs_manual_confirmation,evidence_key
exoplanets,manual,manual,exoplanets:Mayor 1995,Mayor 1995,,10.1038/378355a0,A Jupiter-mass companion to a solar-type star,1995,1.0,1,0,10.1038/378355a0
gamma_ray_bursts_and_supernovae,nobel,nobel,physics-2011,Observational Evidence from Supernovae for an Accelerating Universe and a Cosmological Constant,https://openalex.org/W2073832139,10.1086/300499,Observational Evidence from Supernovae for an Accelerating Universe and a Cosmological Constant,1998,0.8239111403202068,1,0,https://openalex.org/W2073832139
genetics_aging_and_longevity_in_model_organisms,nobel,nobel,physiology or medicine-2006,"The rde-1 Gene, RNA Interference, and Transposon Silencing in C. elegans",https://openalex.org/W2158627784,10.1016/s0092-8674(00)81644-x,"The rde-1 Gene, RNA Interference, and Transposon Silencing in C. elegans",1999,0.8865847042691837,1,0,https://openalex.org/W2158627784
mass_spectrometry_techniques_and_applications,nobel,nobel,chemistry-1999,Real-time femtosecond probing of ‘‘transition states’’ in chemical reactions,https://openalex.org/W2093458139,10.1063/1.453122,Real-time femtosecond probing of ‘‘transition states’’ in chemical reactions,1987,0.8356261311271408,1,0,https://openalex.org/W2093458139
microbiome_metagenomics,manual,manual,microbiome_metagenomics:HMP 2012,HMP 2012,,10.1038/nature11234,"Structure, function and diversity of the healthy human microbiome",2012,1.0,1,0,10.1038/nature11234
perovskite_solar_cells,manual,manual,perovskite_solar_cells:Kojima 2009,Kojima 2009,,10.1021/ja809598r,Organometal Halide Perovskites as Visible-Light Sensitizers for Photovoltaic Cells,2009,1.0,1,0,10.1021/ja809598r
perovskite_solar_cells,manual,manual,perovskite_solar_cells:Lee 2012,Lee 2012,,10.1126/science.1228604,Efficient Hybrid Solar Cells Based on Meso-Superstructured Organometal Halide Perovskites,2012,1.0,1,0,10.1126/science.1228604
spectroscopy_and_quantum_chemical_studies,nobel,nobel,chemistry-1992,Dynamical effects in electron transfer reactions. II. Numerical solution,https://openalex.org/W1974708164,10.1063/1.451951,Dynamical effects in electron transfer reactions. II. Numerical solution,1987,0.7891301187984431,1,0,https://openalex.org/W1974708164
spectroscopy_and_quantum_chemical_studies,nobel,nobel,chemistry-1999,Femtosecond real-time observation of wave packet oscillations (resonance) in dissociation reactions,https://openalex.org/W2003771289,10.1063/1.454408,Femtosecond real-time observation of wave packet oscillations (resonance) in dissociation reactions,1988,0.8203966421860905,1,0,https://openalex.org/W2003771289
topological_insulators,manual,manual,topological_insulators:Kane/Mele 2005,Kane/Mele 2005,https://openalex.org/W2030164271,10.1103/physrevlett.95.226801,Quantum Spin Hall Effect in Graphene,2005,1.0,1,0,https://openalex.org/W2030164271
ubiquitin_and_proteasome_pathways,nobel,nobel,chemistry-2004,THE UBIQUITIN SYSTEM,https://openalex.org/W2166987747,10.1146/annurev.biochem.67.1.425,THE UBIQUITIN SYSTEM,1998,0.8050884883500169,1,0,https://openalex.org/W2166987747
crispr,fig1_anchor,legacy_fig1_labeled_seed,crispr:Jinek 2012,Jinek 2012,https://openalex.org/W2045435533,10.1126/science.1225829,A Programmable Dual-RNA–Guided DNA Endonuclease in Adaptive Bacterial Immunity,2012,1.0,1,1,https://openalex.org/W2045435533
crispr,fig1_anchor,legacy_fig1_labeled_seed,crispr:Cong/Mali 2013,Cong/Mali 2013,https://openalex.org/W2064815984,10.1126/science.1231143,Multiplex Genome Engineering Using CRISPR/Cas Systems,2013,1.0,1,1,https://openalex.org/W2064815984
crispr,fig1_anchor,legacy_fig1_labeled_seed,crispr:Mali 2013,Mali 2013,https://openalex.org/W2003171404,10.1126/science.1232033,RNA-Guided Human Genome Engineering via Cas9,2013,1.0,1,1,https://openalex.org/W2003171404
graphene_2d_materials,fig1_anchor,legacy_fig1_labeled_seed,graphene_2d_materials:Novoselov 2004,Novoselov 2004,https://openalex.org/W2058122340,10.1126/science.1102896,Electric Field Effect in Atomically Thin Carbon Films,2004,1.0,1,1,https://openalex.org/W2058122340
ipsc_reprogramming,fig1_anchor,legacy_fig1_labeled_seed,ipsc_reprogramming:Takahashi/Yamanaka 2006,Takahashi/Yamanaka 2006,https://openalex.org/W2125987139,10.1016/j.cell.2006.07.024,Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors,2006,1.0,1,1,https://openalex.org/W2125987139
ipsc_reprogramming,fig1_anchor,legacy_fig1_labeled_seed,ipsc_reprogramming:Takahashi 2007,Takahashi 2007,https://openalex.org/W2138977668,10.1016/j.cell.2007.11.019,Induction of Pluripotent Stem Cells from Adult Human Fibroblasts by Defined Factors,2007,1.0,1,1,https://openalex.org/W2138977668
ipsc_reprogramming,fig1_anchor,legacy_fig1_labeled_seed,ipsc_reprogramming:Yu 2007,Yu 2007,https://openalex.org/W2142046859,10.1126/science.1151526,Induced Pluripotent Stem Cell Lines Derived from Human Somatic Cells,2007,1.0,1,1,https://openalex.org/W2142046859
