figure,path,title,role,visual_mode,absolute_path,exists,size_bytes,width_px,height_px,evidence_status,pipeline_ready_gap,assembly_action
Fig.1,outputs/redraw_v6a_best_fig1/fig1_multi_domain_real.png,Knowledge-graph perturbation measurement,Introduces graph-perturbation signals on real publication domains.,rigorous data figure,/home/jayee/workspace/ASPR/outputs/redraw_v6a_best_fig1/fig1_multi_domain_real.png,1,1697708,6341,3188,generated,,keep
Fig.2,outputs/redraw_v6a_best_fig2/fig2_empirical_full.png,Empirical indicator validation,Shows perturbation indicators are predictive rather than decorative.,rigorous data figure,/home/jayee/workspace/ASPR/outputs/redraw_v6a_best_fig2/fig2_empirical_full.png,1,1125268,6000,3900,generated,,keep
Fig.3,outputs/redraw_v6a_best_fig3/fig3_selected_weight_learning_full.png,Learned perturbation score,Learns and validates a multi-indicator score used downstream.,rigorous data figure,/home/jayee/workspace/ASPR/outputs/redraw_v6a_best_fig3/fig3_selected_weight_learning_full.png,1,1040781,6000,3780,generated,,keep
Fig.4,outputs/kg_perturbation_fig4_full50/fig4_full.png,Peer-review validation sample,Connects graph evidence to peer-review-style innovation judgments.,rigorous validation figure,/home/jayee/workspace/ASPR/outputs/kg_perturbation_fig4_full50/fig4_full.png,1,228585,1402,1122,generated,,keep
Fig.5,outputs/kg_perturbation_fig5/strict_ai_filtered_image2_handoff/fig5_strict_ai_filtered_image2_generated_preview.png,Forecast and mechanism handoff,Turns graph signals into a forward-looking scientific interpretation layer.,visual synthesis figure,/home/jayee/workspace/ASPR/outputs/kg_perturbation_fig5/strict_ai_filtered_image2_handoff/fig5_strict_ai_filtered_image2_generated_preview.png,1,1761114,1536,1024,generated,,keep
Fig.6,outputs/kg_perturbation_fig6/fig6_full.png,Robustness and boundary conditions,"Tests whether Fig.1-Fig.5 graph-perturbation analysis remains credible under domain, noise, scale, window, and modeling changes.",rigorous data figure,/home/jayee/workspace/ASPR/outputs/kg_perturbation_fig6/fig6_full.png,1,1227784,4732,3068,mixed observed cached plus proxy probes,Panels B-D are proxy robustness probes from cached score tables; caption already labels this.,keep
Fig.7,outputs/kg_perturbation_fig7/fig7_full.png,Venue-level innovation contribution,"Moves from method validity to venue-level scientific interpretation, with strict Nature headline kept as a pipeline-ready gap.",rigorous data figure,/home/jayee/workspace/ASPR/outputs/kg_perturbation_fig7/fig7_full.png,1,395330,4336,2072,headline point-estimate supported with strict interval caveat,strict_interval_separation,soften headline and retain as venue-level interpretation
Fig.8,outputs/kg_perturbation_fig8/fig8_full.png,ASPR algorithm framework,Names the final method: ASPR combines a graph-perturbation agent with ASPR-Qwen and a fusion/verifier layer.,algorithm framework figure,/home/jayee/workspace/ASPR/outputs/kg_perturbation_fig8/fig8_full.png,1,186619,2400,1600,"algorithm framework, not statistical evidence",,keep
Fig.9,outputs/kg_perturbation_fig9/fig9_full.png,End-to-end ASPR case run,Shows ASPR running on one real Nature Communications paper with traceable evidence and an explicitly assumed ASPR-Qwen draft.,case storyboard figure,/home/jayee/workspace/ASPR/outputs/kg_perturbation_fig9/fig9_full.png,1,533939,3240,1980,real case evidence with assumed ASPR-Qwen lane,ASPR-Qwen output assumed and labeled pipeline-ready.,keep
Fig.10,outputs/kg_perturbation_fig10/fig10_full.png,ASPR module ablation and reinforcement,"Shows that the final ASPR result comes from module combination, not a single generic LLM.",rigorous data and ablation figure,/home/jayee/workspace/ASPR/outputs/kg_perturbation_fig10/fig10_full.png,1,891434,5223,3696,pipeline_ready_with_llm_judge_ablation_estimates,Ablations and preference bars use LLM-as-judge pipeline estimates.,keep
