dimension_id,label,definition,construct_role,feature_ids_json,reported_status,reported_selected,reported_reason,exact_mapped_feature_count,reconstructed_mapped_feature_count,recovery_provenance
CD001,Abstract availability and completeness,Recovered label; original full definition was not printed.,t0_potential,"[""EF0001"", ""EF0006"", ""EF0007"", ""EF0011"", ""EF0012"", ""EF0103"", ""EF0104"", ""EF0105"", ""EF0154"", ""EF0214"", ""EF0295""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,2,9,session_exact_label_mixed_mapping
CD002,Abstract length and information density,Recovered label; original full definition was not printed.,t0_potential,"[""EF0002"", ""EF0004"", ""EF0005"", ""EF0013"", ""EF0018"", ""EF0192"", ""EF0219""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES|FEWER_THAN_TWO_INDEPENDENT_RESEARCH_GROUPS,2,5,session_exact_label_mixed_mapping
CD003,Abstract rhetoric and semantic composition,Recovered label; original full definition was not printed.,t0_potential,"[""EF0008"", ""EF0009""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,2,0,session_exact_label_mixed_mapping
CD004,"Access, cost, and dissemination opportunity",Recovered label; original full definition was not printed.,opportunity,"[""EF0027"", ""EF0114""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,1,1,session_exact_label_mixed_mapping
CD005,Article structure and format,Recovered label; original full definition was not printed.,t0_potential,"[""EF0010"", ""EF0025"", ""EF0026"", ""EF0028"", ""EF0029"", ""EF0030"", ""EF0055"", ""EF0088"", ""EF0172""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,1,8,session_exact_label_mixed_mapping
CD006,Author affiliation and geographic context,Recovered label; original full definition was not printed.,context_control,"[""EF0014"", ""EF0019"", ""EF0033"", ""EF0034"", ""EF0039"", ""EF0040"", ""EF0153""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,6,1,session_exact_label_mixed_mapping
CD007,Author credentials and career capital,Recovered label; original full definition was not printed.,opportunity,"[""EF0032"", ""EF0036"", ""EF0037"", ""EF0045"", ""EF0047"", ""EF0049"", ""EF0150"", ""EF0280"", ""EF0281"", ""EF0288"", ""EF0301""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,8,3,session_exact_label_mixed_mapping
CD008,Author geographic and linguistic position,Recovered label; original full definition was not printed.,opportunity,"[""EF0051"", ""EF0151""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,2,0,session_exact_label_mixed_mapping
CD009,Author identity and authorship position,Recovered label; original full definition was not printed.,opportunity,"[""EF0035"", ""EF0042"", ""EF0043"", ""EF0044"", ""EF0050"", ""EF0096"", ""EF0249"", ""EF0250""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,6,2,session_exact_label_mixed_mapping
CD010,Author team composition context,Recovered label; original full definition was not printed.,context_control,"[""EF0038"", ""EF0048""]",retained,EF0038,PASS,2,0,session_exact_label_mixed_mapping
CD011,Bias and confounding sensitivity,Recovered label; original full definition was not printed.,sensitivity,"[""EF0065"", ""EF0166"", ""EF0222"", ""EF0274"", ""EF0371"", ""EF0384"", ""EF0430""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,2,5,session_exact_label_mixed_mapping
CD012,Bibliographic and knowledge-network position,Recovered label; original full definition was not printed.,opportunity,"[""EF0070"", ""EF0238"", ""EF0258""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,3,0,session_exact_label_mixed_mapping
CD013,Citation and reference integrity,Recovered label; original full definition was not printed.,t0_potential,"[""EF0066"", ""EF0067"", ""EF0068"", ""EF0069"", ""EF0071"", ""EF0072"", ""EF0100"", ""EF0112"", ""EF0147"", ""EF0311"", ""EF0317""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,2,9,session_exact_label_mixed_mapping
CD014,Collaboration breadth and type,Recovered label; original full definition was not printed.,opportunity,"[""EF0077"", ""EF0079"", ""EF0086"", ""EF0169"", ""EF0174"", ""EF0186"", ""EF0187"", ""EF0188"", ""EF0190"", ""EF0232"", ""EF0236"", ""EF0327""]",retained,"EF0186, EF0188",PASS,9,3,session_exact_label_mixed_mapping
CD015,Collaboration network position,Recovered label; original full definition was not printed.,opportunity,"[""EF0078"", ""EF0080"", ""EF0081"", ""EF0082"", ""EF0083"", ""EF0084"", ""EF0085"", ""EF0122"", ""EF0126"", ""EF0170"", ""EF0239"", ""EF0282"", ""EF0283"", ""EF0284"", ""EF0319"", ""EF0338"", ""EF0381""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,13,4,session_exact_label_mixed_mapping
CD016,Confounding-adjustment context,Recovered label; original full definition was not printed.,context_control,"[""EF0090"", ""EF0091"", ""EF0092""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES|FEWER_THAN_TWO_INDEPENDENT_RESEARCH_GROUPS,0,3,session_exact_label_mixed_mapping
CD017,Data-access context,Recovered label; original full definition was not printed.,context_control,"[""EF0101"", ""EF0107"", ""EF0108"", ""EF0120"", ""EF0195"", ""EF0218"", ""EF0247"", ""EF0285"", ""EF0286"", ""EF0294"", ""EF0380"", ""EF0417""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES|FEWER_THAN_TWO_INDEPENDENT_RESEARCH_GROUPS,0,12,session_exact_label_mixed_mapping
CD018,"Data, code, and protocol transparency",Recovered label; original full definition was not printed.,t0_potential,"[""EF0102"", ""EF0106"", ""EF0109"", ""EF0299"", ""EF0326"", ""EF0329""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,5,1,session_exact_label_mixed_mapping
CD019,Domain plausibility and translational relevance,Recovered label; original full definition was not printed.,t0_potential,"[""EF0056"", ""EF0057"", ""EF0062"", ""EF0110"", ""EF0121"", ""EF0191"", ""EF0203"", ""EF0382""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,5,3,session_exact_label_mixed_mapping
CD020,"Ethics, governance, and reflexivity",Recovered label; original full definition was not printed.,t0_potential,"[""EF0089"", ""EF0334"", ""EF0348""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,2,1,session_exact_label_mixed_mapping
CD021,Evaluation design and appraisal practice,Recovered label; original full definition was not printed.,t0_potential,"[""EF0022"", ""EF0132"", ""EF0248"", ""EF0255"", ""EF0292"", ""EF0429""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES|FEWER_THAN_TWO_INDEPENDENT_RESEARCH_GROUPS,0,6,session_exact_label_mixed_mapping
CD022,Evidence consistency and generalizability,Recovered label; original full definition was not printed.,sensitivity,"[""EF0133"", ""EF0134"", ""EF0135"", ""EF0136"", ""EF0137"", ""EF0138"", ""EF0139"", ""EF0140"", ""EF0143""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,5,4,session_exact_label_mixed_mapping
CD023,Funding and industry context,Recovered label; original full definition was not printed.,context_control,"[""EF0156"", ""EF0171"", ""EF0272"", ""EF0401""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,2,2,session_exact_label_mixed_mapping
CD024,Funding resources and sponsorship,Recovered label; original full definition was not printed.,opportunity,"[""EF0155"", ""EF0157"", ""EF0158"", ""EF0159"", ""EF0160"", ""EF0296""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,3,3,session_exact_label_mixed_mapping
