slug,display_name,field_name,query,n_landmarks,first_landmark_year
rna_interference_and_gene_delivery,rna interference and gene delivery,,rna interference and gene delivery,1,2001
ancient_dna,Ancient DNA,Biochemistry Genetics and Molecular Biology,ancient DNA paleogenomics,1,1985
chip_seq_genomics,ChIP-seq genomics,Biochemistry Genetics and Molecular Biology,ChIP-seq chromatin immunoprecipitation sequencing,1,2007
dna_sequencing_sanger,DNA sequencing by chain termination,Biochemistry Genetics and Molecular Biology,Sanger DNA sequencing chain termination,1,1977
environmental_metagenomics,Environmental metagenomics,Biochemistry Genetics and Molecular Biology,environmental metagenomics Sargasso Sea,1,2004
green_fluorescent_protein,GFP and fluorescent proteins,Biochemistry Genetics and Molecular Biology,green fluorescent protein GFP biology,1,1994
human_genome_project,Human Genome Project,Biochemistry Genetics and Molecular Biology,human genome project sequencing,1,2001
microarray_gene_expression,DNA microarrays and gene expression profiling,Biochemistry Genetics and Molecular Biology,DNA microarray gene expression profiling,1,1995
optogenetics,Optogenetics,Biochemistry Genetics and Molecular Biology,optogenetics Boyden channelrhodopsin neuroscience,1,2005
pcr_polymerase_chain_reaction,PCR polymerase chain reaction,Biochemistry Genetics and Molecular Biology,polymerase chain reaction PCR DNA amplification,1,1985
crispr,CRISPR-Cas genome editing,"Biochemistry, Genetics and Molecular Biology","""CRISPR"" OR ""Cas9"" OR ""genome editing""",3,2012
genetics_aging_and_longevity_in_model_organisms,"Genetics, Aging, and Longevity in Model Organisms","Biochemistry, Genetics and Molecular Biology","Genetics, Aging, and Longevity in Model Organisms",3,1993
ipsc_reprogramming,iPSC and cellular reprogramming,"Biochemistry, Genetics and Molecular Biology","""induced pluripotent stem cell"" OR ""cellular reprogramming"" OR ""Yamanaka factors""",3,2006
nanopore_sequencing,Nanopore sequencing,"Biochemistry, Genetics and Molecular Biology","""nanopore sequencing"" OR ""MinION"" OR ""single-molecule sequencing""",1,1996
rna_interference,RNA interference,"Biochemistry, Genetics and Molecular Biology","""RNA interference"" OR ""siRNA"" OR ""gene silencing""",1,1998
single_cell_rna_seq,Single-cell RNA sequencing,"Biochemistry, Genetics and Molecular Biology","""single-cell RNA-seq"" OR ""single cell transcriptomics"" OR ""Drop-seq""",2,2009
super_resolution_microscopy,Super-resolution microscopy,"Biochemistry, Genetics and Molecular Biology","""super-resolution microscopy"" OR ""STED microscopy"" OR ""PALM microscopy"" OR ""STORM microscopy""",1,2006
synthetic_biology,Synthetic biology,"Biochemistry, Genetics and Molecular Biology","""synthetic biology"" OR ""genetic circuit"" OR ""minimal genome""",2,2000
ubiquitin_and_proteasome_pathways,Ubiquitin and proteasome pathways,"Biochemistry, Genetics and Molecular Biology",Ubiquitin and proteasome pathways,2,1980
click_chemistry_cuaac,Click chemistry CuAAC,Chemistry,click chemistry copper catalyzed azide alkyne cycloaddition,1,2002
covalent_organic_frameworks,Covalent organic frameworks,Chemistry,covalent organic frameworks COF Yaghi,1,2005
mass_spectrometry_techniques_and_applications,Mass Spectrometry Techniques and Applications,Chemistry,Mass Spectrometry Techniques and Applications,3,1987
metal_organic_frameworks,Metal-organic frameworks,Chemistry,metal organic frameworks MOF Yaghi,1,1995
photocatalytic_water_splitting,Photocatalytic water splitting,Chemistry,photocatalytic water splitting Fujishima Honda,1,1972
backpropagation_deep_learning,Backpropagation neural networks,Computer Science,backpropagation neural networks Rumelhart,1,1986
causal_diagrams,Causal diagrams and graphical causal inference,Computer Science,causal diagrams Pearl empirical research,1,1995
convolutional_neural_networks,Convolutional neural networks,Computer Science,convolutional neural networks LeCun,1,1998
lasso_regularization,LASSO regularization,Computer Science,LASSO regularization statistics,1,1996
latent_dirichlet_allocation,Latent Dirichlet allocation,Computer Science,latent Dirichlet allocation topic model,1,2003
